; Number of ROIs: 1
; File Dimension: 640 x 480
;
; ROI name: ROI #2
; ROI rgb value: {0, 128, 0}
; ROI npts: 2476
;
; File X, File Y, B1
;
 436,  182,  45057
 437,  182,  44806
 438,  182,  45056
 439,  182,  44801
 440,  182,  45056
 441,  182,  45059
 424,  183,  45570
 425,  183,  45572
 426,  183,  45318
 427,  183,  45315
 428,  183,  45315
 429,  183,  45317
 430,  183,  45062
 431,  183,  45062
 432,  183,  45060
 433,  183,  45312
 434,  183,  45057
 435,  183,  45057
 436,  183,  44804
 437,  183,  44807
 438,  183,  45057
 439,  183,  45056
 440,  183,  44806
 441,  183,  45059
 412,  184,  46337
 413,  184,  46083
 414,  184,  46080
 415,  184,  46081
 416,  184,  45830
 417,  184,  45830
 418,  184,  46081
 419,  184,  45824
 420,  184,  45575
 421,  184,  45573
 422,  184,  45825
 423,  184,  45829
 424,  184,  45827
 425,  184,  45573
 426,  184,  45318
 427,  184,  45316
 428,  184,  45319
 429,  184,  45312
 430,  184,  45063
 431,  184,  45058
 432,  184,  45056
 433,  184,  45062
 434,  184,  45062
 435,  184,  45058
 436,  184,  45060
 437,  184,  44806
 438,  184,  44803
 439,  184,  44804
 440,  184,  45057
 441,  184,  45060
 442,  184,  45057
 400,  185,  46085
 401,  185,  46081
 402,  185,  46082
 403,  185,  45829
 404,  185,  45827
 405,  185,  45575
 406,  185,  45829
 407,  185,  45831
 408,  185,  46081
 409,  185,  46087
 410,  185,  46084
 411,  185,  46336
 412,  185,  46336
 413,  185,  46083
 414,  185,  46082
 415,  185,  45829
 416,  185,  45826
 417,  185,  45830
 418,  185,  46080
 419,  185,  45828
 420,  185,  45827
 421,  185,  45826
 422,  185,  45570
 423,  185,  45829
 424,  185,  45825
 425,  185,  45573
 426,  185,  45572
 427,  185,  45317
 428,  185,  45317
 429,  185,  45062
 430,  185,  45061
 431,  185,  45059
 432,  185,  45062
 433,  185,  45063
 434,  185,  45063
 435,  185,  45061
 436,  185,  45056
 437,  185,  44806
 438,  185,  44803
 439,  185,  44800
 440,  185,  45057
 441,  185,  45061
 442,  185,  45062
 394,  186,  46085
 395,  186,  45824
 396,  186,  45574
 397,  186,  46080
 398,  186,  46084
 399,  186,  46086
 400,  186,  46339
 401,  186,  46083
 402,  186,  46082
 403,  186,  46083
 404,  186,  45830
 405,  186,  45826
 406,  186,  45831
 407,  186,  46083
 408,  186,  46080
 409,  186,  46087
 410,  186,  46086
 411,  186,  46336
 412,  186,  46086
 413,  186,  46086
 414,  186,  46087
 415,  186,  46082
 416,  186,  45830
 417,  186,  45829
 418,  186,  45574
 419,  186,  45572
 420,  186,  45825
 421,  186,  45824
 422,  186,  45826
