; Number of ROIs: 1
; File Dimension: 640 x 480
;
; ROI name: ROI #32
; ROI rgb value: {255, 255, 240}
; ROI npts: 69
;
; File X, File Y, B1
;
 470,  276,  54272
 471,  276,  53252
 472,  276,  52225
 467,  277,  54279
 468,  277,  55297
 469,  277,  55553
 470,  277,  55297
 471,  277,  54535
 472,  277,  53762
 467,  278,  55044
 468,  278,  55815
 469,  278,  55814
 470,  278,  55557
 471,  278,  55297
 472,  278,  54533
 467,  279,  54791
 468,  279,  55815
 469,  279,  55557
 470,  279,  55557
 471,  279,  55043
 472,  279,  54535
 467,  280,  54788
 468,  280,  55553
 469,  280,  55557
 470,  280,  55303
 471,  280,  55299
 472,  280,  54785
 467,  281,  54784
 468,  281,  55300
 469,  281,  55555
 470,  281,  55302
 471,  281,  55047
 472,  281,  54790
 468,  282,  55303
 469,  282,  55302
 470,  282,  55298
 471,  282,  55043
 472,  282,  54535
 473,  282,  54020
 468,  283,  55047
 469,  283,  55047
 470,  283,  55297
 471,  283,  55042
 472,  283,  55040
 473,  283,  54276
 468,  284,  54788
 469,  284,  55045
 470,  284,  55042
 471,  284,  54786
 472,  284,  55041
 473,  284,  54277
 468,  285,  54531
 469,  285,  55042
 470,  285,  55040
 471,  285,  54786
 472,  285,  55046
 473,  285,  54790
 468,  286,  54279
 469,  286,  54785
 470,  286,  54533
 471,  286,  54786
 472,  286,  55041
 473,  286,  54789
 468,  287,  53766
 469,  287,  54023
 470,  287,  54277
 471,  287,  54528
 472,  287,  54787
 473,  287,  54790
