; Number of ROIs: 1
; File Dimension: 640 x 480
;
; ROI name: ROI #6
; ROI rgb value: {255, 0, 255}
; ROI npts: 1977
;
; File X, File Y, B1
;
 349,  225,  40193
 350,  225,  39942
 345,  226,  39937
 346,  226,  39938
 347,  226,  39943
 348,  226,  40193
 349,  226,  39943
 350,  226,  40192
 351,  226,  40192
 341,  227,  39682
 342,  227,  39429
 343,  227,  39683
 344,  227,  39681
 345,  227,  39684
 346,  227,  39941
 347,  227,  39942
 348,  227,  40193
 349,  227,  40197
 350,  227,  39942
 351,  227,  40193
 337,  228,  39684
 338,  228,  39936
 339,  228,  39687
 340,  228,  39687
 341,  228,  39687
 342,  228,  39431
 343,  228,  39683
 344,  228,  39682
 345,  228,  39941
 346,  228,  39940
 347,  228,  39942
 348,  228,  39943
 349,  228,  40198
 350,  228,  40199
 351,  228,  40197
 352,  228,  40449
 334,  229,  39683
 335,  229,  39687
 336,  229,  39939
 337,  229,  39941
 338,  229,  39684
 339,  229,  39685
 340,  229,  39686
 341,  229,  39685
 342,  229,  39682
 343,  229,  39683
 344,  229,  39685
 345,  229,  39684
 346,  229,  39686
 347,  229,  39941
 348,  229,  40192
 349,  229,  40195
 350,  229,  40192
 351,  229,  40194
 352,  229,  40198
 330,  230,  39687
 331,  230,  39682
 332,  230,  39686
 333,  230,  39681
 334,  230,  39685
 335,  230,  39939
 336,  230,  39941
 337,  230,  39943
 338,  230,  39687
 339,  230,  39941
 340,  230,  39683
 341,  230,  39936
 342,  230,  39686
 343,  230,  39682
 344,  230,  39683
 345,  230,  39685
 346,  230,  39943
 347,  230,  39940
 348,  230,  40197
 349,  230,  40196
 350,  230,  40195
 351,  230,  40195
 352,  230,  40197
 353,  230,  40198
 326,  231,  40195
 327,  231,  39940
 328,  231,  39938
 329,  231,  39683
 330,  231,  39940
 331,  231,  39687
 332,  231,  39683
 333,  231,  39686
 334,  231,  39936
 335,  231,  39937
 336,  231,  39937
 337,  231,  39939
 338,  231,  39940
 339,  231,  39684
 340,  231,  39936
 341,  231,  39940
 342,  231,  39937
 343,  231,  39941
 344,  231,  39682
 345,  231,  39943
 346,  231,  40193
 347,  231,  40449
 348,  231,  40448
 349,  231,  40195
 350,  231,  40194
 351,  231,  40448
 352,  231,  40450
 353,  231,  40453
 322,  232,  39936
 323,  232,  39939
 324,  232,  39940
 325,  232,  39940
 326,  232,  39943
 327,  232,  39942
 328,  232,  39686
 329,  232,  39684
 330,  232,  39684
 331,  232,  39430
 332,  232,  39683
 333,  232,  39428
 334,  232,  39686
 335,  232,  39685
 336,  232,  39938
 337,  232,  39937
 338,  232,  39937
 339,  232,  39939
 340,  232,  39941
 341,  232,  39937
 342,  232,  39939
 343,  232,  39943
 344,  232,  39943
 345,  232,  40192
 346,  232,  40193
 347,  232,  40448
 348,  232,  40199
 349,  232,  40450
 350,  232,  40198
 351,  232,  40196
 352,  232,  40199
 353,  232,  40195
 354,  232,  40452
 318,  233,  39938
 319,  233,  39683
 320,  233,  39687
 321,  233,  39685
 322,  233,  39937
 323,  233,  39683
 324,  233,  39939
 325,  233,  39941
 326,  233,  39686
 327,  233,  39937
 328,  233,  39686
 329,  233,  39686
 330,  233,  39681
 331,  233,  39684
 332,  233,  39683
 333,  233,  39681
 334,  233,  39683
 335,  233,  39687
 336,  233,  39687
 337,  233,  39684
 338,  233,  39939
 339,  233,  39942
 340,  233,  39938
 341,  233,  39943
 342,  233,  39943
 343,  233,  39941
 344,  233,  39940
 345,  233,  40198
 346,  233,  40198
 347,  233,  40195
 348,  233,  40198
 349,  233,  40198
 350,  233,  40197
 351,  233,  40455
 352,  233,  40198
 353,  233,  40448
 354,  233,  40194
 355,  233,  40453
 316,  234,  39937
 317,  234,  39938
 318,  234,  39940
 319,  234,  39687
 320,  234,  39939
 321,  234,  39942
 322,  234,  39941
 323,  234,  39941
 324,  234,  39943
 325,  234,  40194
 326,  234,  40193
 327,  234,  39941
 328,  234,  39939
 329,  234,  39939
 330,  234,  39685
 331,  234,  39683
 332,  234,  39683
 333,  234,  39684
 334,  234,  39936
 335,  234,  39936
 336,  234,  39687
 337,  234,  39938
 338,  234,  39942
 339,  234,  39939
 340,  234,  40193
 341,  234,  40195
 342,  234,  40195
 343,  234,  40192
 344,  234,  40196
 345,  234,  40452
 346,  234,  40453
 347,  234,  40455
 348,  234,  40452
 349,  234,  40453
 350,  234,  40199
 351,  234,  40452
 352,  234,  40452
 353,  234,  40453
 354,  234,  40451
 355,  234,  40453
 316,  235,  39687
 317,  235,  39938
 318,  235,  39942
 319,  235,  39687
 320,  235,  39942
 321,  235,  40195
 322,  235,  40194
 323,  235,  40192
 324,  235,  39943
 325,  235,  40195
 326,  235,  39941
 327,  235,  39942
 328,  235,  39938
 329,  235,  39938
 330,  235,  39936
 331,  235,  39937
 332,  235,  39680
 333,  235,  39686
 334,  235,  39687
 335,  235,  39938
 336,  235,  39685
 337,  235,  39936
 338,  235,  39939
 339,  235,  39939
 340,  235,  40193
 341,  235,  40192
 342,  235,  40196
 343,  235,  40195
 344,  235,  40452
 345,  235,  40451
 346,  235,  40453
 347,  235,  40451
 348,  235,  40451
 349,  235,  40709
 350,  235,  40451
 351,  235,  40706
 352,  235,  40198
 353,  235,  40705
 354,  235,  40455
 355,  235,  40451
 356,  235,  40198
 317,  236,  39687
 318,  236,  39687
 319,  236,  39683
 320,  236,  39684
 321,  236,  39687
 322,  236,  39936
 323,  236,  39940
 324,  236,  39943
 325,  236,  39936
 326,  236,  39942
 327,  236,  39941
 328,  236,  39938
 329,  236,  39942
 330,  236,  39938
 331,  236,  39685
 332,  236,  39686
 333,  236,  39686
 334,  236,  39684
 335,  236,  39938
 336,  236,  39940
 337,  236,  39940
