; Number of ROIs: 1
; File Dimension: 640 x 480
;
; ROI name: ROI #9
; ROI rgb value: {128, 0, 0}
; ROI npts: 248
;
; File X, File Y, B1
;
 314,  242,  13058
 315,  242,   6400
 316,  242,   3330
 317,  242,   2819
 318,  242,   2562
 319,  242,   2561
 320,  242,   2051
 321,  242,   1792
 322,  242,   1286
 323,  242,   1026
 324,  242,    519
 325,  242,    515
 326,  242,    771
 327,  242,    774
 328,  242,   1541
 329,  242,   3074
 330,  242,   5639
 314,  243,  10758
 315,  243,   3590
 316,  243,    260
 317,  243,   1794
 318,  243,   1538
 319,  243,   1028
 320,  243,   1029
 321,  243,   1285
 322,  243,      6
 323,  243,    776
 324,  243,    777
 325,  243,   1545
 326,  243,   1800
 327,  243,   1285
 328,  243,    256
 329,  243,   1540
 330,  243,   4870
 314,  244,   9728
 315,  244,   2304
 316,  244,   1028
 317,  244,   1801
 318,  244,      9
 319,  244,   1802
 320,  244,   1292
 321,  244,     12
 322,  244,     13
 323,  244,    270
 324,  244,   1551
 325,  244,     14
 326,  244,     11
 327,  244,   1032
 328,  244,   1283
 329,  244,   1286
 330,  244,   4871
 314,  245,   8194
 315,  245,    774
 316,  245,    520
 317,  245,   1803
 318,  245,   1292
 319,  245,    781
 320,  245,     13
 321,  245,    271
 322,  245,   1552
 323,  245,   1041
 324,  245,    272
 325,  245,    527
 326,  245,   1037
 327,  245,    264
 328,  245,      2
 329,  245,   1286
 330,  245,   5123
 314,  246,   6663
 315,  246,    768
 316,  246,    523
 317,  246,   1293
 318,  246,    525
 319,  246,    782
 320,  246,    527
 321,  246,   1554
 322,  246,    786
 323,  246,    274
 324,  246,   1042
 325,  246,    528
 326,  246,    269
 327,  246,    520
 328,  246,      2
 329,  246,   1540
 330,  246,   5127
 314,  247,   5637
 315,  247,    514
 316,  247,    524
 317,  247,   1037
 318,  247,   1294
 319,  247,    270
 320,  247,   1809
 321,  247,   1042
 322,  247,    274
 323,  247,   1555
 324,  247,    530
 325,  247,   1553
 326,  247,   1037
 327,  247,   1032
 328,  247,   1539
 329,  247,   1793
 330,  247,   5632
 314,  248,   5120
 315,  248,   1540
 316,  248,    269
 317,  248,    525
 318,  248,     13
 319,  248,   1808
 320,  248,    529
 321,  248,   1298
 322,  248,    274
 323,  248,    530
 324,  248,   1298
 325,  248,   1808
 326,  248,    524
 327,  248,    263
 328,  248,    257
 329,  248,   1794
 330,  248,   5890
 314,  249,   3843
 315,  249,    519
 316,  249,   1038
 317,  249,   1551
 318,  249,     13
 319,  249,    271
 320,  249,   1297
 321,  249,    274
 322,  249,   1298
 323,  249,   1810
 324,  249,   1297
 325,  249,    527
 326,  249,    779
 327,  249,    517
 328,  249,   1536
 329,  249,   2052
 330,  249,   5894
 315,  250,   1801
 316,  250,    270
 317,  250,   1551
 318,  250,   1807
 319,  250,    528
 320,  250,     18
 321,  250,   1299
 322,  250,   1811
 323,  250,    530
 324,  250,     17
 325,  250,    270
 326,  250,    266
 327,  250,   1541
 328,  250,      3
 329,  250,   2051
 330,  250,   6147
 315,  251,   1034
 316,  251,     15
 317,  251,    272
 318,  251,    784
 319,  251,    530
 320,  251,    275
 321,  251,   1812
 322,  251,    275
 323,  251,     19
 324,  251,   1298
 325,  251,   1039
 326,  251,   1291
 327,  251,   1542
 328,  251,      1
 329,  251,   2048
 330,  251,   5636
 315,  252,   1035
 316,  252,   1041
 317,  252,    273
 318,  252,    529
 319,  252,    274
 320,  252,   1556
 321,  252,   1812
 322,  252,    531
 323,  252,    274
 324,  252,    529
 325,  252,    271
 326,  252,   1035
 327,  252,   1286
 328,  252,      0
 329,  252,   2053
 330,  252,   5636
 315,  253,   1548
 316,  253,     16
 317,  253,    785
 318,  253,   1297
 319,  253,     18
 320,  253,    531
 321,  253,   1811
 322,  253,   1554
 323,  253,   1810
 324,  253,    784
 325,  253,    782
 326,  253,    267
 327,  253,    774
 328,  253,   1536
 329,  253,   2054
 330,  253,   5888
 315,  254,    779
 316,  254,   1809
 317,  254,    529
 318,  254,    273
 319,  254,   1810
 320,  254,     18
 321,  254,    274
 322,  254,    786
 323,  254,    785
 324,  254,     16
 325,  254,     14
 326,  254,   1291
 327,  254,   1797
 328,  254,    257
 329,  254,   2310
 330,  254,   6147
 315,  255,     10
 316,  255,   1552
 317,  255,   1553
 318,  255,   1553
 319,  255,   1553
 320,  255,   1298
 321,  255,     17
 322,  255,     17
 323,  255,   1554
 324,  255,   1809
 325,  255,    526
 326,  255,     10
 327,  255,   1541
 328,  255,    257
 329,  255,   2560
 330,  255,   5891
 315,  256,   1030
 316,  256,   1803
 317,  256,   1548
 318,  256,   1292
 319,  256,   1037
 320,  256,    526
 321,  256,    782
 322,  256,    526
 323,  256,   1807
 324,  256,     13
 325,  256,    267
 326,  256,   1544
 327,  256,    770
 328,  256,    771
 329,  256,   2823
 330,  256,   6403
