; Number of ROIs: 1
; File Dimension: 640 x 480
;
; ROI name: ROI #17
; ROI rgb value: {25, 25, 112}
; ROI npts: 150
;
; File X, File Y, B1
;
 382,  270,  38404
 380,  271,  38145
 381,  271,  38404
 382,  271,  38660
 379,  272,  38405
 380,  272,  38406
 381,  272,  38661
 382,  272,  38914
 378,  273,  39174
 379,  273,  39170
 380,  273,  39171
 381,  273,  39168
 382,  273,  38918
 383,  273,  39430
 376,  274,  40196
 377,  274,  39685
 378,  274,  39430
 379,  274,  39426
 380,  274,  39171
 381,  274,  39169
 382,  274,  39425
 383,  274,  39430
 375,  275,  40962
 376,  275,  40449
 377,  275,  39943
 378,  275,  39942
 379,  275,  39940
 380,  275,  39687
 381,  275,  39681
 382,  275,  39937
 383,  275,  39685
 375,  276,  40961
 376,  276,  40961
 377,  276,  40706
 378,  276,  40706
 379,  276,  40451
 380,  276,  40194
 381,  276,  40194
 382,  276,  40192
 383,  276,  40192
 375,  277,  41222
 376,  277,  41222
 377,  277,  41220
 378,  277,  41222
 379,  277,  40966
 380,  277,  40455
 381,  277,  40450
 382,  277,  40197
 383,  277,  40448
 375,  278,  41217
 376,  278,  41221
 377,  278,  41473
 378,  278,  41472
 379,  278,  41220
 380,  278,  40709
 381,  278,  40193
 382,  278,  39941
 383,  278,  40199
 375,  279,  40963
 376,  279,  40708
 377,  279,  40963
 378,  279,  40965
 379,  279,  40709
 380,  279,  40194
 381,  279,  39681
 382,  279,  39687
 383,  279,  40194
 384,  279,  40704
 375,  280,  40708
 376,  280,  40707
 377,  280,  40709
 378,  280,  40708
 379,  280,  40451
 380,  280,  40194
 381,  280,  39937
 382,  280,  39943
 383,  280,  40197
 384,  280,  40708
 375,  281,  40963
 376,  281,  40965
 377,  281,  40963
 378,  281,  40964
 379,  281,  40704
 380,  281,  40199
 381,  281,  40192
 382,  281,  40448
 383,  281,  40455
 384,  281,  40705
 376,  282,  41221
 377,  282,  40964
 378,  282,  40710
 379,  282,  40455
 380,  282,  40455
 381,  282,  40453
 382,  282,  40455
 383,  282,  40706
 384,  282,  40705
 376,  283,  41216
 377,  283,  40964
 378,  283,  40709
 379,  283,  40704
 380,  283,  40704
 381,  283,  40708
 382,  283,  40453
 383,  283,  40704
 384,  283,  40449
 376,  284,  41216
 377,  284,  41219
 378,  284,  40967
 379,  284,  40711
 380,  284,  40964
 381,  284,  40961
 382,  284,  40706
 383,  284,  40454
 384,  284,  40450
 376,  285,  41217
 377,  285,  41221
 378,  285,  41472
 379,  285,  41473
 380,  285,  41216
 381,  285,  40964
 382,  285,  40709
 383,  285,  40454
 384,  285,  40704
 385,  285,  40449
 376,  286,  41219
 377,  286,  41474
 378,  286,  41478
 379,  286,  41475
 380,  286,  41476
 381,  286,  41216
 382,  286,  40962
 383,  286,  40708
 384,  286,  40455
 385,  286,  40711
 376,  287,  40966
 377,  287,  41476
 378,  287,  41732
 379,  287,  41732
 380,  287,  41479
 381,  287,  41474
 382,  287,  41219
 383,  287,  40966
 384,  287,  40711
 385,  287,  40709
 381,  288,  41476
 382,  288,  41221
 383,  288,  40965
 384,  288,  40966
 385,  288,  40960
