; Number of ROIs: 1
; File Dimension: 640 x 480
;
; ROI name: ROI #8
; ROI rgb value: {0, 128, 128}
; ROI npts: 940
;
; File X, File Y, B1
;
 299,  177,  45314
 300,  177,  45313
 301,  177,  45061
 302,  177,  45063
 303,  177,  45317
 304,  177,  45569
 305,  177,  45571
 306,  177,  45571
 307,  177,  45568
 308,  177,  45314
 309,  177,  44806
 310,  177,  44805
 311,  177,  44804
 312,  177,  44805
 313,  177,  45057
 314,  177,  45314
 315,  177,  45569
 316,  177,  45312
 317,  177,  44803
 318,  177,  44294
 319,  177,  43783
 320,  177,  43776
 321,  177,  43271
 322,  177,  43264
 323,  177,  43010
 324,  177,  43011
 325,  177,  43008
 326,  177,  42503
 327,  177,  42500
 328,  177,  42500
 329,  177,  42501
 330,  177,  42246
 331,  177,  42247
 332,  177,  41991
 299,  178,  45315
 300,  178,  45062
 301,  178,  45058
 302,  178,  45060
 303,  178,  45056
 304,  178,  44806
 305,  178,  45060
 306,  178,  45060
 307,  178,  45057
 308,  178,  44803
 309,  178,  44548
 310,  178,  44545
 311,  178,  44293
 312,  178,  44550
 313,  178,  45058
 314,  178,  45318
 315,  178,  45571
 316,  178,  45316
 317,  178,  44806
 318,  178,  44545
 319,  178,  44032
 320,  178,  43524
 321,  178,  43522
 322,  178,  43267
 323,  178,  43008
 324,  178,  42754
 325,  178,  42753
 326,  178,  42496
 327,  178,  42242
 328,  178,  42245
 329,  178,  42243
 330,  178,  42496
 331,  178,  41991
 332,  178,  41989
 299,  179,  45569
 300,  179,  45063
 301,  179,  44807
 302,  179,  44802
 303,  179,  44803
 304,  179,  44804
 305,  179,  45060
 306,  179,  45059
 307,  179,  44807
 308,  179,  44551
 309,  179,  44289
 310,  179,  44038
 311,  179,  44291
 312,  179,  44805
 313,  179,  45313
 314,  179,  45825
 315,  179,  45574
 316,  179,  45316
 317,  179,  44800
 318,  179,  44039
 319,  179,  43780
 320,  179,  43525
 321,  179,  43266
 322,  179,  43012
 323,  179,  43008
