; Number of ROIs: 1
; File Dimension: 640 x 480
;
; ROI name: ROI #11
; ROI rgb value: {0, 0, 128}
; ROI npts: 126
;
; File X, File Y, B1
;
 518,  233,  54019
 519,  233,  56064
 520,  233,  56578
 521,  233,  56327
 522,  233,  56320
 523,  233,  55814
 524,  233,  55047
 525,  233,  54023
 526,  233,  52992
 518,  234,  54279
 519,  234,  56068
 520,  234,  56836
 521,  234,  56583
 522,  234,  56579
 523,  234,  56067
 524,  234,  55554
 525,  234,  54530
 526,  234,  53251
 518,  235,  54272
 519,  235,  56065
 520,  235,  56578
 521,  235,  56579
 522,  235,  56320
 523,  235,  56070
 524,  235,  55556
 525,  235,  54785
 526,  235,  53509
 518,  236,  54023
 519,  236,  55813
 520,  236,  56325
 521,  236,  56576
 522,  236,  56320
 523,  236,  56064
 524,  236,  55302
 525,  236,  54787
 526,  236,  54019
 518,  237,  53763
 519,  237,  55555
 520,  237,  56065
 521,  237,  56066
 522,  237,  55814
 523,  237,  55556
 524,  237,  55041
 525,  237,  54529
 526,  237,  53507
 518,  238,  53505
 519,  238,  55296
 520,  238,  55556
 521,  238,  55814
 522,  238,  55554
 523,  238,  55047
 524,  238,  55040
 525,  238,  54276
 526,  238,  53510
 518,  239,  53255
 519,  239,  55046
 520,  239,  55556
 521,  239,  55809
 522,  239,  55558
 523,  239,  55553
 524,  239,  55040
 525,  239,  54532
 526,  239,  53763
 519,  240,  55298
 520,  240,  55811
 521,  240,  55552
 522,  240,  55558
 523,  240,  55555
 524,  240,  55045
 525,  240,  54532
 526,  240,  53761
 519,  241,  55046
 520,  241,  55558
 521,  241,  55814
 522,  241,  55811
 523,  241,  55555
 524,  241,  55046
 525,  241,  54530
 526,  241,  54017
 527,  241,  52741
 519,  242,  55045
 520,  242,  55557
 521,  242,  55813
 522,  242,  55559
 523,  242,  55553
 524,  242,  55047
 525,  242,  55040
 526,  242,  54018
 527,  242,  52996
 519,  243,  55044
 520,  243,  55557
 521,  243,  55810
 522,  243,  55809
 523,  243,  55553
 524,  243,  55301
 525,  243,  54787
 526,  243,  54277
 527,  243,  53507
 519,  244,  54785
 520,  244,  55554
 521,  244,  55554
 522,  244,  55557
 523,  244,  55300
 524,  244,  55301
 525,  244,  55043
 526,  244,  54279
 527,  244,  53764
 519,  245,  54531
 520,  245,  55301
 521,  245,  55301
 522,  245,  55302
 523,  245,  55303
 524,  245,  55297
 525,  245,  55044
 526,  245,  54535
 527,  245,  54022
 519,  246,  54273
 520,  246,  54789
 521,  246,  55041
 522,  246,  55297
 523,  246,  55045
 524,  246,  54790
 525,  246,  54789
 526,  246,  54785
 527,  246,  54016
 527,  247,  53766
