; Number of ROIs: 1
; File Dimension: 640 x 480
;
; ROI name: ROI #2
; ROI rgb value: {0, 128, 0}
; ROI npts: 579
;
; File X, File Y, B1
;
 398,  203,  38917
 396,  204,  38916
 397,  204,  38916
 398,  204,  38917
 399,  204,  38917
 394,  205,  38915
 395,  205,  38915
 396,  205,  38912
 397,  205,  38662
 398,  205,  38919
 399,  205,  39169
 392,  206,  38914
 393,  206,  38913
 394,  206,  38914
 395,  206,  38913
 396,  206,  38918
 397,  206,  38918
 398,  206,  39169
 399,  206,  39424
 400,  206,  39169
 391,  207,  38915
 392,  207,  38914
 393,  207,  38659
 394,  207,  38914
 395,  207,  38915
 396,  207,  39168
 397,  207,  39168
 398,  207,  39168
 399,  207,  39172
 400,  207,  39424
 401,  207,  39424
 389,  208,  38919
 390,  208,  39172
 391,  208,  38919
 392,  208,  39169
 393,  208,  39170
 394,  208,  38915
 395,  208,  39168
 396,  208,  38918
 397,  208,  39169
 398,  208,  39171
 399,  208,  39173
 400,  208,  39425
 401,  208,  39425
 387,  209,  39168
 388,  209,  39173
 389,  209,  39170
 390,  209,  39171
 391,  209,  38918
 392,  209,  39170
 393,  209,  38918
 394,  209,  38916
 395,  209,  38915
 396,  209,  38918
 397,  209,  39168
 398,  209,  39172
 399,  209,  39424
 400,  209,  39175
 401,  209,  39424
 402,  209,  39681
 385,  210,  38918
 386,  210,  39168
 387,  210,  39170
 388,  210,  39171
 389,  210,  39171
 390,  210,  39424
 391,  210,  39173
 392,  210,  38918
 393,  210,  38919
 394,  210,  38916
 395,  210,  38916
 396,  210,  38916
 397,  210,  39169
 398,  210,  38919
 399,  210,  39170
 400,  210,  38918
 401,  210,  39174
 402,  210,  39426
 403,  210,  39426
 383,  211,  39175
 384,  211,  39175
 385,  211,  39430
 386,  211,  39425
 387,  211,  39680
 388,  211,  39424
 389,  211,  39427
 390,  211,  39425
 391,  211,  39173
 392,  211,  38916
 393,  211,  38916
 394,  211,  38663
 395,  211,  38912
 396,  211,  38663
 397,  211,  38913
 398,  211,  39170
 399,  211,  39168
 400,  211,  39174
 401,  211,  39428
 402,  211,  39426
 403,  211,  39680
 382,  212,  39427
 383,  212,  39426
 384,  212,  39428
 385,  212,  39174
 386,  212,  39427
 387,  212,  39172
 388,  212,  39173
 389,  212,  39426
 390,  212,  38919
 391,  212,  39169
 392,  212,  38919
 393,  212,  38662
 394,  212,  38913
 395,  212,  38659
 396,  212,  38662
 397,  212,  38662
 398,  212,  38914
 399,  212,  38915
 400,  212,  38917
 401,  212,  39173
 402,  212,  39171
 403,  212,  39429
 404,  212,  39681
 380,  213,  39429
 381,  213,  39431
 382,  213,  39430
 383,  213,  39429
 384,  213,  39175
 385,  213,  39173
 386,  213,  39172
 387,  213,  39172
 388,  213,  39169
 389,  213,  39170
 390,  213,  39168
 391,  213,  38661
 392,  213,  38913
 393,  213,  38658
 394,  213,  38662
 395,  213,  38403
 396,  213,  38406
 397,  213,  38402
 398,  213,  38403
 399,  213,  38913
 400,  213,  38916
 401,  213,  38917
 402,  213,  39175
 403,  213,  39424
 404,  213,  39429
 405,  213,  39682
 378,  214,  39431
 379,  214,  39427
 380,  214,  39430
 381,  214,  39425
 382,  214,  39430
 383,  214,  39429
 384,  214,  39424
 385,  214,  38919
 386,  214,  38917
 387,  214,  39168
 388,  214,  39168
 389,  214,  38916
 390,  214,  38663
 391,  214,  38660
 392,  214,  38660
 393,  214,  38656
 394,  214,  38406
 395,  214,  38404
 396,  214,  38406
 397,  214,  38405
 398,  214,  38406
 399,  214,  38659
 400,  214,  38915
 401,  214,  39168
 402,  214,  39175
 403,  214,  39429
 404,  214,  39430
 405,  214,  39681
 376,  215,  39429
 377,  215,  39431
 378,  215,  39424
 379,  215,  39428
 380,  215,  39174
 381,  215,  39426
 382,  215,  39425
 383,  215,  39427
 384,  215,  39173
 385,  215,  39174
 386,  215,  38914
 387,  215,  39168
 388,  215,  38663
 389,  215,  38915
 390,  215,  38663
 391,  215,  38661
 392,  215,  38662
 393,  215,  38405
 394,  215,  38660
 395,  215,  38402
 396,  215,  38402
 397,  215,  38405
 398,  215,  38656
 399,  215,  38657
 400,  215,  38917
 401,  215,  38913
 402,  215,  39168
 403,  215,  39427
 404,  215,  39170
 405,  215,  39429
 406,  215,  39681
 375,  216,  39427
 376,  216,  39682
 377,  216,  39429
 378,  216,  39681
 379,  216,  39427
 380,  216,  39175
 381,  216,  39425
 382,  216,  39425
 383,  216,  39428
 384,  216,  39172
 385,  216,  39172
 386,  216,  39171
 387,  216,  38918
 388,  216,  38917
 389,  216,  38662
 390,  216,  38912
 391,  216,  38913
 392,  216,  38659
 393,  216,  38660
 394,  216,  38658
 395,  216,  38404
 396,  216,  38404
 397,  216,  38656
 398,  216,  38402
 399,  216,  38661
 400,  216,  38918
 401,  216,  38917
 402,  216,  39169
 403,  216,  39170
 404,  216,  39170
 405,  216,  39169
 406,  216,  39426
 407,  216,  39685
 376,  217,  39427
 377,  217,  39425
 378,  217,  39429
 379,  217,  39429
 380,  217,  39431
 381,  217,  39427
 382,  217,  39427
 383,  217,  39428
 384,  217,  39427
 385,  217,  39171
 386,  217,  39173
 387,  217,  39168
 388,  217,  39171
 389,  217,  38916
 390,  217,  38915
 391,  217,  38916
 392,  217,  38916
 393,  217,  38917
 394,  217,  38661
 395,  217,  38658
 396,  217,  38405
 397,  217,  38657
 398,  217,  38656
 399,  217,  38659
 400,  217,  38918
