; Number of ROIs: 1
; File Dimension: 640 x 480
;
; ROI name: ROI #6
; ROI rgb value: {255, 0, 255}
; ROI npts: 42
;
; File X, File Y, B1
;
 308,  236,  57088
 309,  236,  56836
 310,  236,  56067
 311,  236,  55044
 312,  236,  54272
 313,  236,  52995
 314,  236,  51456
 308,  237,  56577
 309,  237,  56071
 310,  237,  55303
 311,  237,  54531
 312,  237,  53761
 313,  237,  52736
 314,  237,  51202
 308,  238,  55812
 309,  238,  55556
 310,  238,  54788
 311,  238,  54016
 312,  238,  53248
 313,  238,  52230
 314,  238,  50950
 308,  239,  55298
 309,  239,  55040
 310,  239,  54275
 311,  239,  53761
 312,  239,  52997
 313,  239,  52226
 314,  239,  50693
 308,  240,  54530
 309,  240,  54277
 310,  240,  54016
 311,  240,  52999
 312,  240,  52487
 313,  240,  51970
 314,  240,  50695
 308,  241,  54016
 309,  241,  53766
 310,  241,  53505
 311,  241,  53250
 312,  241,  52737
 313,  241,  51969
 314,  241,  50695
