; Number of ROIs: 1
; File Dimension: 640 x 480
;
; ROI name: ROI #4
; ROI rgb value: {255, 255, 0}
; ROI npts: 264
;
; File X, File Y, B1
;
 323,  238,  6657
 324,  238,  1542
 325,  238,     7
 326,  238,     2
 327,  238,     2
 328,  238,   256
 329,  238,   258
 330,  238,   260
 331,  238,   261
 332,  238,   519
 333,  238,   776
 334,  238,     8
 335,  238,  1544
 336,  238,  1029
 337,  238,     0
 338,  238,  2053
 323,  239,  4608
 324,  239,  1538
 325,  239,   265
 326,  239,   779
 327,  239,    10
 328,  239,   524
 329,  239,   525
 330,  239,  1807
 331,  239,  1040
 332,  239,  1810
 333,  239,  1299
 334,  239,   275
 335,  239,  1554
 336,  239,   525
 337,  239,   520
 338,  239,   519
 323,  240,  4610
 324,  240,   772
 325,  240,  1804
 326,  240,    13
 327,  240,   270
 328,  240,   271
 329,  240,  1041
 330,  240,   529
 331,  240,  1554
 332,  240,   531
 333,  240,  1813
 334,  240,    20
 335,  240,  1555
 336,  240,  1039
 337,  240,   519
 338,  240,   768
 323,  241,  4865
 324,  241,   772
 325,  241,  1292
 326,  241,  1549
 327,  241,  1293
 328,  241,   783
 329,  241,   272
 330,  241,   273
 331,  241,  1555
 332,  241,    19
 333,  241,  1301
 334,  241,   532
 335,  241,  1811
 336,  241,  1807
 337,  241,     7
 338,  241,  1028
 323,  242,  4097
 324,  242,     5
 325,  242,  1036
 326,  242,   524
 327,  242,  1037
 328,  242,   271
 329,  242,   272
 330,  242,  1298
 331,  242,  1300
 332,  242,   276
 333,  242,   277
 334,  242,  1045
 335,  242,    18
 336,  242,  1038
 337,  242,   263
 338,  242,  1024
 323,  243,  2816
 324,  243,   520
 325,  243,  1805
 326,  243,   268
 327,  243,    13
 328,  243,  1039
 329,  243,  1041
 330,  243,  1812
 331,  243,  1813
 332,  243,   277
 333,  243,   790
 334,  243,   789
 335,  243,   274
 336,  243,   270
 337,  243,  1544
 338,  243,  1028
 323,  244,  2053
 324,  244,  1289
 325,  244,   782
 326,  244,   525
 327,  244,  1294
 328,  244,   784
 329,  244,   530
 330,  244,  1043
 331,  244,  1300
 332,  244,   788
 333,  244,  1558
 334,  244,    20
 335,  244,  1298
 336,  244,  1806
 337,  244,   518
 338,  244,  1537
 323,  245,  1541
 324,  245,  1033
 325,  245,  1293
 326,  245,   268
 327,  245,  1293
 328,  245,  1807
 329,  245,    16
 330,  245,    17
 331,  245,    18
 332,  245,   787
 333,  245,  1044
 334,  245,   531
 335,  245,  1553
 336,  245,    11
 337,  245,   772
 338,  245,  2049
 323,  246,   513
 324,  246,  1035
 325,  246,   526
 326,  246,  1037
 327,  246,    13
 328,  246,   527
 329,  246,    17
 330,  246,    17
 331,  246,  1042
 332,  246,   786
 333,  246,   787
 334,  246,  1042
 335,  246,  1038
 336,  246,    10
 337,  246,  1796
 338,  246,  2048
 323,  247,  1281
 324,  247,    13
 325,  247,  1296
 326,  247,  1807
 327,  247,  1296
 328,  247,   785
 329,  247,   274
 330,  247,    19
 331,  247,  1300
 332,  247,    20
 333,  247,  1045
 334,  247,  1043
 335,  247,  1808
 336,  247,  1547
 337,  247,   260
 338,  247,  1794
 323,  248,     3
 324,  248,   527
 325,  248,  1297
 326,  248,   785
 327,  248,   529
 328,  248,   787
 329,  248,   276
 330,  248,   276
 331,  248,  1045
 332,  248,  1813
 333,  248,  1557
 334,  248,   532
 335,  248,   784
 336,  248,   268
 337,  248,     5
 338,  248,  1284
 323,  249,   515
 324,  249,   527
 325,  249,   273
 326,  249,  1041
 327,  249,  1041
 328,  249,  1043
 329,  249,   532
 330,  249,  1044
 331,  249,   532
 332,  249,    20
 333,  249,   533
 334,  249,  1556
 335,  249,  1553
 336,  249,   780
 337,  249,   517
 338,  249,  1282
 323,  250,  1283
 324,  250,   526
 325,  250,   272
 326,  250,   784
 327,  250,   273
 328,  250,  1298
 329,  250,  1043
 330,  250,  1811
 331,  250,  1555
 332,  250,   275
 333,  250,    20
 334,  250,   530
 335,  250,  1552
 336,  250,  1804
 337,  250,   772
 338,  250,  1543
 323,  251,  1283
 324,  251,  1038
 325,  251,   272
 326,  251,  1296
 327,  251,   528
 328,  251,   273
 329,  251,   274
 330,  251,  1042
 331,  251,   529
 332,  251,  1042
 333,  251,  1044
 334,  251,    18
 335,  251,   270
 336,  251,  1802
 337,  251,   258
 338,  251,  1799
 323,  252,     0
 324,  252,  1548
 325,  252,   782
 326,  252,  1550
 327,  252,  1039
 328,  252,   528
 329,  252,   528
 330,  252,  1810
 331,  252,  1042
 332,  252,  1555
 333,  252,   531
 334,  252,  1554
 335,  252,   782
 336,  252,  1802
 337,  252,   258
 338,  252,  2048
 323,  253,  1541
 324,  253,  1796
 325,  253,     5
 326,  253,     6
 327,  253,  1288
 328,  253,    10
 329,  253,   523
 330,  253,  1805
 331,  253,   524
 332,  253,  1806
 333,  253,  1294
 334,  253,  1806
 335,  253,   266
 336,  253,  1286
 337,  253,   258
 338,  253,  2820
 331,  254,  1282
 332,  254,   769
 333,  254,   261
 334,  254,   770
 335,  254,  1794
 336,  254,  2822
 337,  254,  4864
 338,  254,  7175
