; Number of ROIs: 1
; File Dimension: 640 x 480
;
; ROI name: ROI #47
; ROI rgb value: {0, 128, 0}
; ROI npts: 54
;
; File X, File Y, B1
;
 336,  280,  52738
 337,  280,  52739
 338,  280,  51975
 339,  280,  51715
 340,  280,  52227
 341,  280,  52994
 342,  280,  52999
 343,  280,  52992
 344,  280,  51207
 336,  281,  52736
 337,  281,  52483
 338,  281,  52227
 339,  281,  51969
 340,  281,  52228
 341,  281,  53253
 342,  281,  53252
 343,  281,  52995
 344,  281,  51717
 336,  282,  52742
 337,  282,  52485
 338,  282,  51968
 339,  282,  51969
 340,  282,  52740
 341,  282,  53248
 342,  282,  53506
 343,  282,  53251
 344,  282,  51972
 336,  283,  52739
 337,  283,  52485
 338,  283,  51971
 339,  283,  51463
 340,  283,  52228
 341,  283,  52998
 342,  283,  52995
 343,  283,  52994
 344,  283,  51719
 336,  284,  52737
 337,  284,  52481
 338,  284,  51714
 339,  284,  51461
 340,  284,  51972
 341,  284,  52738
 342,  284,  52738
 343,  284,  52485
 344,  284,  51458
 336,  285,  52480
 337,  285,  52226
 338,  285,  51456
 339,  285,  51201
 340,  285,  51461
 341,  285,  51969
 342,  285,  51718
 343,  285,  51459
 344,  285,  50438
