; Number of ROIs: 1
; File Dimension: 640 x 480
;
; ROI name: ROI #55
; ROI rgb value: {0, 255, 0}
; ROI npts: 121
;
; File X, File Y, B1
;
 329,  103,  46853
 330,  103,  47106
 331,  103,  47105
 329,  104,  46594
 330,  104,  46853
 331,  104,  46853
 332,  104,  46853
 333,  104,  47105
 334,  104,  46855
 335,  104,  47107
 328,  105,  46593
 329,  105,  46594
 330,  105,  46848
 331,  105,  46854
 332,  105,  46850
 333,  105,  46848
 334,  105,  46852
 335,  105,  46854
 336,  105,  46854
 337,  105,  46850
 328,  106,  46592
 329,  106,  46342
 330,  106,  46598
 331,  106,  46596
 332,  106,  46593
 333,  106,  46596
 334,  106,  46599
 335,  106,  46597
 336,  106,  46597
 337,  106,  46594
 328,  107,  46341
 329,  107,  46341
 330,  107,  46339
 331,  107,  46341
 332,  107,  46341
 333,  107,  46339
 334,  107,  46342
 335,  107,  46338
 336,  107,  46085
 337,  107,  46082
 328,  108,  46598
 329,  108,  46596
 330,  108,  46853
 331,  108,  46593
 332,  108,  46592
 333,  108,  46592
 334,  108,  46339
 335,  108,  46341
 336,  108,  46339
 327,  109,  46596
 328,  109,  46850
 329,  109,  46855
 330,  109,  47106
 331,  109,  47104
 332,  109,  46850
 333,  109,  46341
 334,  109,  46341
 335,  109,  46337
 336,  109,  46086
 327,  110,  46851
 328,  110,  47106
 329,  110,  47110
 330,  110,  47363
 331,  110,  47104
 332,  110,  46597
 333,  110,  46592
 334,  110,  46338
 335,  110,  46343
 336,  110,  46084
 327,  111,  47104
 328,  111,  47111
 329,  111,  47360
 330,  111,  47110
 331,  111,  47106
 332,  111,  46596
 333,  111,  46340
 334,  111,  46337
 335,  111,  46338
 336,  111,  46336
 327,  112,  47110
 328,  112,  47619
 329,  112,  47360
 330,  112,  47360
 331,  112,  46855
 332,  112,  46596
 333,  112,  46340
 334,  112,  46082
 335,  112,  46336
 336,  112,  46083
 326,  113,  47105
 327,  113,  46854
 328,  113,  47107
 329,  113,  47105
 330,  113,  47109
 331,  113,  46851
 332,  113,  46342
 333,  113,  46336
 334,  113,  46336
 335,  113,  46087
 336,  113,  46087
 326,  114,  46594
 327,  114,  46597
 328,  114,  46598
 329,  114,  46852
 330,  114,  46848
 331,  114,  46338
 332,  114,  46341
 333,  114,  46080
 334,  114,  46080
 335,  114,  45829
 326,  115,  46598
 327,  115,  46594
 328,  115,  46849
 329,  115,  46592
 330,  115,  46343
 331,  115,  46338
 332,  115,  46336
 333,  115,  46080
 334,  115,  45826
 335,  115,  45573
 335,  116,  45568
