target,idx,altitude,mean_radiance,n_px,std,min,max
grass2,2,17.7,9.888205541,5814,0.1208091922,9.405679671,10.55106307
grass2,3,30.5,10.01222827,7102,0.1452990635,9.523178338,11.13833967
grass2,4,43.2,10.01289886,5220,0.1661533633,9.427179622,10.7779621
grass2,5,55.9,9.994710026,3412,0.1610033479,9.34543474,10.64762531
grass2,6,68.6,9.98792434,2255,0.1555963884,9.318046023,10.58141638
grass2,7,81.4,9.978195516,1638,0.1455942002,9.343512363,10.50584358
grass2,8,94.1,9.987409533,1238,0.1216624764,9.449707236,10.39586258
grass2,9,106.8,9.95706736,940,0.1126130786,9.514915646,10.30368492
grass2,10,119.5,9.810780807,194,0.08886082384,9.537278681,9.974690989
grass2,11,132.3,9.936330265,709,0.1290737893,9.331733215,10.26283971
grass2,12,145,9.905629624,700,0.1274613493,9.349838378,10.26604263
grass2,13,157.7,9.89745035,458,0.09795933895,9.534739387,10.11778527
grass2,14,170.4,9.88547309,449,0.1188429184,9.376505055,10.15074925
grass2,15,183.2,9.854563756,359,0.09875581127,9.494485356,10.03650263
grass2,16,195.9,9.851613079,333,0.1020385585,9.44567678,10.07040369
grass2,17,208.6,9.826246078,324,0.1133640891,9.402523544,10.05994804
grass2,18,221.3,9.842355081,253,0.1059348684,9.394376621,10.09322308
grass2,19,234.1,9.82071513,221,0.0966807857,9.527768331,10.0136674
foil,3,30.5,5.237037431,2000,0.06823073521,5.114839887,5.706122806
foil,4,43.2,5.26875348,1981,0.1319647242,5.127463495,7.041840388
foil,5,55.9,5.286318696,1071,0.07299998796,5.160597284,5.8897632
foil,6,68.6,5.298646485,743,0.06405432169,5.192999503,5.409003232
foil,7,81.4,5.314473145,576,0.08677408645,5.194074726,6.005992006
foil,8,94.1,5.300130665,391,0.06351998782,5.194820084,5.407578336
foil,9,106.8,5.361389442,297,0.2220739406,5.177367068,6.427125013
foil,10,119.5,5.358757012,248,0.2034202743,5.181906048,6.618815059
foil,11,132.3,5.318658009,203,0.09959064353,5.188723448,5.70757293
foil,12,145,5.306394857,163,0.06886698063,5.19433235,5.57967817
foil,13,157.7,5.362232574,110,0.2672086867,5.18476399,6.618222233
foil,14,170.4,5.284183515,105,0.06158295126,5.190197775,5.401996986
foil,15,183.2,5.404247843,73,0.2248502136,5.188208888,6.175669274
foil,16,195.9,5.3931475,64,0.21764722,5.184729039,5.981237083
foil,17,208.6,5.357015679,72,0.1368708387,5.200377459,5.850312641
foil,18,221.3,5.310697483,56,0.1020887645,5.187727712,5.589300921
foil,19,234.1,5.448522488,56,0.3168312881,5.196064316,6.554236898
foil,20,247.4,5.283295505,46,0.0834840936,5.186385919,5.667505104
concrete,1,5,9.816559646,68439,0.07136710935,9.512511538,10.06662676
concrete,2,17.7,9.732211581,26692,0.05683367772,9.561492412,9.987964278
concrete,3,30.5,9.686642689,8832,0.06220570275,9.51536652,9.886733695
concrete,4,43.2,9.659051929,5506,0.05692836017,9.478889696,9.834095326
concrete,5,55.9,9.629165596,3752,0.05435613136,9.473914727,9.78850909
concrete,6,68.6,9.590372024,1977,0.053879498,9.445014164,9.753871597
concrete,7,81.4,9.557889009,1562,0.04564441653,9.438632992,9.717201939
concrete,8,94.1,9.544037573,1228,0.04513621638,9.398963151,9.685102733
concrete,9,106.8,9.511945162,659,0.04234961412,9.412682244,9.656618744
concrete,10,119.5,9.495356921,495,0.04232576705,9.394070558,9.651384186
concrete,11,132.3,9.465480251,373,0.04703678333,9.360027128,9.608117491
concrete,12,145,9.451479491,342,0.04105514169,9.341494664,9.565397775
concrete,13,157.7,9.426586469,305,0.02898854003,9.344640839,9.504351352
concrete,14,170.4,9.413603116,278,0.03572201439,9.340390267,9.525091655
concrete,15,183.2,9.386452507,253,0.0294302277,9.309594773,9.483690552
concrete,16,195.9,9.351800433,179,0.02645381425,9.297974147,9.430646362
concrete,17,208.6,9.316716193,173,0.0259424944,9.239781166,9.382760447
concrete,18,221.3,9.292566708,202,0.02717456657,9.237297238,9.37206252
concrete,19,234.1,9.244718861,144,0.02621002047,9.192588916,9.34436433
concrete,20,247.4,9.196098304,142,0.02694802074,9.122806433,9.273160464
grass,1,5,9.639746332,56534,0.2213732469,8.86371946,10.73069216
grass,2,17.7,9.721109168,27348,0.1489989989,9.093102999,10.36591708
grass,3,30.5,9.665730531,7062,0.1289391106,9.123712391,10.04021591
grass,4,43.2,9.605220567,2646,0.1140393311,9.186013358,9.896021943
grass,5,55.9,9.610327764,1249,0.107789906,9.203641626,9.895254589
grass,6,68.6,9.62865486,1195,0.1207964312,9.232240998,10.03743514
grass,7,81.4,9.644772806,1102,0.1170066872,9.242139127,10.00822879
grass,8,94.1,9.613757377,521,0.09958455301,9.321363463,9.825195506
grass,9,106.8,9.590850894,500,0.08602549371,9.357835304,9.754349083
grass,10,119.5,9.620923163,453,0.08612853525,9.347491409,9.867903685
grass,11,132.3,9.621213417,437,0.0914736851,9.339421185,9.861770139
grass,12,145,9.638570567,393,0.08621032467,9.345202915,9.838120503
grass,13,157.7,9.651212087,274,0.07449813079,9.396265687,9.788630153
grass,14,170.4,9.676137893,271,0.08021119195,9.404858308,9.859231213
grass,15,183.2,9.651398682,191,0.08472213288,9.421682367,9.796215052
grass,16,195.9,9.685339051,173,0.07656763814,9.46900085,9.828718399
grass,17,208.6,9.655397772,148,0.06723070697,9.468761614,9.769743621
grass,18,221.3,9.639320221,150,0.08400806472,9.379541571,9.773884066
grass,19,234.1,9.564320287,120,0.0761336611,9.338410614,9.714155576
grass,20,247.4,9.588623016,152,0.0704270876,9.393271782,9.7180517
car,4,43.2,11.51773372,388,0.1065306565,11.21048393,11.74536209
car,5,55.9,11.52360857,324,0.08845796563,11.34639821,11.74687001
car,6,68.6,11.43599292,264,0.08782751368,11.23353256,11.63941226
car,7,81.4,11.43072717,184,0.08820026276,11.2168081,11.6249188
car,8,94.1,11.41980468,124,0.0751281141,11.28788253,11.57981547
car,9,106.8,11.33331166,91,0.0559622658,11.20331568,11.42563843
car,10,119.5,11.25816165,87,0.08746053383,11.08863715,11.44754688
car,11,132.3,11.31127391,88,0.05700798843,11.09954771,11.43601986
