target	Ls Radiance	Ls Derived Temperature	Lg	Lg Derived Temperature
lightasphalt	9.600071	303	10.02496719	305.8
lightasphalt	9.632498	303.2	10.06164932	306.1
lightasphalt	9.65833	303.4	10.09087104	306.3
lightasphalt	9.690267	303.6	10.12699887	306.5
lightasphalt	9.603586	303	10.02894344	305.9
lightasphalt	9.592736	303	10.01666968	305.8
lightasphalt	9.580396	302.9	10.00271041	305.7
lightasphalt	9.583622	302.9	10.00635973	305.7
lightasphalt	9.625007	303.2	10.05317534	306
lightasphalt	9.619641	303.1	10.0471052	306
lightasphalt	9.599682	303	10.02452715	305.8
lightasphalt	9.683625	303.6	10.11948529	306.4
lightasphalt	9.614597	303.1	10.04139932	305.9
lightasphalt	9.558448	302.7	9.977882353	305.5
lightasphalt	9.577884	302.9	9.999868778	305.7
lightasphalt	9.595086	303	10.01932805	305.8
lightasphalt	9.610588	303.1	10.03686425	305.9
lightasphalt	9.626554	303.2	10.05492534	306
lightasphalt	9.633112	303.2	10.06234389	306.1
lightasphalt	9.683087	303.6	10.1188767	306.4
lightasphalt	9.630742	303.2	10.0596629	306.1
lightasphalt	9.598462	303	10.02314706	305.8
lightasphalt	9.602573	303	10.02779751	305.9
lightasphalt	9.605816	303.1	10.03146606	305.9
lightasphalt	9.622701	303.2	10.05056674	306
lightasphalt	9.6359	303.3	10.06549774	306.1
lightasphalt	9.660219	303.4	10.09300792	306.3
lightasphalt	9.662736	303.4	10.0958552	306.3
lightasphalt	9.65275	303.4	10.08455882	306.2
lightasphalt	9.645233	303.3	10.07605543	306.2
lightasphalt	9.633188	303.2	10.06242986	306.1
lightasphalt	9.664917	303.4	10.0983224	306.3
lightasphalt	9.65481	303.4	10.08688914	306.2
lightasphalt	9.644775	303.3	10.07553733	306.2
lightasphalt	9.665922	303.5	10.09945928	306.3
lightasphalt	9.688506	303.6	10.12500679	306.5
lightasphalt	9.620428	303.1	10.04799548	306
lightasphalt	9.638279	303.3	10.06818891	306.1
lightasphalt	9.688303	303.6	10.12477715	306.5
lightasphalt	9.68838	303.6	10.12486425	306.5
lightasphalt	9.678837	303.5	10.114069	306.4
lightasphalt	9.677591	303.5	10.1126595	306.4
lightasphalt	9.659184	303.4	10.0918371	306.3
lightasphalt	9.678846	303.5	10.11407919	306.4
lightasphalt	9.657318	303.4	10.08972624	306.3
lightasphalt	9.659753	303.4	10.09248077	306.3
lightasphalt	9.66232	303.4	10.09538462	306.3
lightasphalt	9.689123	303.6	10.12570475	306.5
lightasphalt	9.685803	303.6	10.1219491	306.5
lightasphalt	9.693452	303.6	10.13060181	306.5
lightasphalt	9.674555	303.5	10.10922511	306.4
lightasphalt	9.700669	303.7	10.13876584	306.6
lightasphalt	9.629647	303.2	10.05842421	306.1
lightasphalt	9.654383	303.4	10.08640611	306.2
lightasphalt	9.656061	303.4	10.0883043	306.2
lightasphalt	9.68087	303.6	10.11636878	306.4
lightasphalt	9.678735	303.5	10.11395362	306.4
lightasphalt	9.69404	303.6	10.13126697	306.5
lightasphalt	9.68152	303.6	10.11710407	306.4
lightasphalt	9.684542	303.6	10.12052262	306.5
grass	9.445748	302	9.850393665	304.7
grass	9.36158	301.4	9.755180995	304.1
grass	9.415355	301.8	9.816012443	304.5
grass	9.478275	302.2	9.887188914	304.9
grass	9.316432	301.1	9.704108597	303.7
grass	9.375172	301.5	9.770556561	304.2
grass	9.444197	302	9.84863914	304.7
grass	9.499829	302.3	9.911571267	305.1
grass	9.47141	302.1	9.879423077	304.9
grass	9.335604	301.2	9.72579638	303.9
grass	9.346751	301.3	9.738406109	303.9
