; Number of ROIs: 1
; File Dimension: 640 x 480
;
; ROI name: ROI #3
; ROI rgb value: {0, 0, 255}
; ROI npts: 2069
;
; File X, File Y, B1
;
 381,  213,  45572
 382,  213,  45827
 383,  213,  45827
 384,  213,  46084
 385,  213,  46080
 386,  213,  45827
 387,  213,  45829
 388,  213,  45574
 389,  213,  45827
 390,  213,  46080
 391,  213,  45829
 381,  214,  45568
 382,  214,  45825
 383,  214,  45826
 384,  214,  45827
 385,  214,  45830
 386,  214,  45825
 387,  214,  45826
 388,  214,  45828
 389,  214,  45574
 390,  214,  45831
 391,  214,  45575
 392,  214,  45830
 393,  214,  45826
 394,  214,  45830
 395,  214,  45825
 396,  214,  45831
 397,  214,  45827
 398,  214,  45573
 399,  214,  45568
 400,  214,  45571
 401,  214,  45573
 402,  214,  45568
 403,  214,  45569
 404,  214,  45319
 405,  214,  45574
 406,  214,  45316
 407,  214,  45061
 408,  214,  45313
 409,  214,  45060
 410,  214,  44807
 411,  214,  44806
 382,  215,  45828
 383,  215,  46081
 384,  215,  46082
 385,  215,  46085
 386,  215,  45825
 387,  215,  45829
 388,  215,  45573
 389,  215,  45824
 390,  215,  45575
 391,  215,  45829
 392,  215,  45830
 393,  215,  45826
 394,  215,  45829
 395,  215,  45824
 396,  215,  45827
 397,  215,  45829
 398,  215,  45571
 399,  215,  45568
 400,  215,  45572
 401,  215,  45317
 402,  215,  45570
 403,  215,  45568
 404,  215,  45571
 405,  215,  45569
 406,  215,  45318
 407,  215,  45314
 408,  215,  45059
 409,  215,  44807
 410,  215,  45058
 411,  215,  44807
 412,  215,  44805
 413,  215,  44803
 414,  215,  44801
 415,  215,  44804
 416,  215,  44802
 417,  215,  44800
 418,  215,  44551
 419,  215,  44550
 420,  215,  44802
 421,  215,  44804
 382,  216,  45826
 383,  216,  46082
 384,  216,  46083
 385,  216,  46084
 386,  216,  46080
 387,  216,  45831
 388,  216,  45824
 389,  216,  45824
 390,  216,  45575
 391,  216,  45575
 392,  216,  45827
 393,  216,  45575
 394,  216,  45573
 395,  216,  45831
 396,  216,  45825
 397,  216,  45575
 398,  216,  45569
 399,  216,  45575
 400,  216,  45826
 401,  216,  45319
 402,  216,  45568
 403,  216,  45319
 404,  216,  45316
 405,  216,  45314
