; Number of ROIs: 1
; File Dimension: 640 x 480
;
; ROI name: ROI #31
; ROI rgb value: {124, 252, 0}
; ROI npts: 78
;
; File X, File Y, B1
;
 470,  219,  56064
 471,  219,  55814
 472,  219,  55808
 473,  219,  55298
 474,  219,  54022
 475,  219,  53504
 470,  220,  56071
 471,  220,  56323
 472,  220,  56067
 473,  220,  55555
 474,  220,  54786
 475,  220,  54018
 470,  221,  56323
 471,  221,  56577
 472,  221,  56071
 473,  221,  55812
 474,  221,  55046
 475,  221,  54535
 470,  222,  56070
 471,  222,  56070
 472,  222,  56064
 473,  222,  55302
 474,  222,  55047
 475,  222,  54788
 470,  223,  55814
 471,  223,  55813
 472,  223,  55558
 473,  223,  55298
 474,  223,  55041
 475,  223,  54785
 470,  224,  55558
 471,  224,  55559
 472,  224,  55302
 473,  224,  55046
 474,  224,  55045
 475,  224,  54787
 469,  225,  54784
 470,  225,  55553
 471,  225,  55553
 472,  225,  55554
 473,  225,  55045
 474,  225,  55040
 475,  225,  54533
 469,  226,  54786
 470,  226,  55555
 471,  226,  55809
 472,  226,  55557
 473,  226,  55552
 474,  226,  55046
 475,  226,  55045
 469,  227,  54529
 470,  227,  55557
 471,  227,  55810
 472,  227,  55555
 473,  227,  55302
 474,  227,  55554
 475,  227,  55296
 469,  228,  54278
 470,  228,  55300
 471,  228,  55553
 472,  228,  55554
 473,  228,  55301
 474,  228,  55301
 475,  228,  55555
 469,  229,  54273
 470,  229,  55044
 471,  229,  55301
 472,  229,  55299
 473,  229,  55297
 474,  229,  55553
 475,  229,  55556
 469,  230,  53765
 470,  230,  54784
 471,  230,  55044
 472,  230,  55041
 473,  230,  55042
 474,  230,  55301
 475,  230,  55559
