; Number of ROIs: 1
; File Dimension: 640 x 480
;
; ROI name: ROI #17
; ROI rgb value: {25, 25, 112}
; ROI npts: 173
;
; File X, File Y, B1
;
 410,  208,  37380
 411,  208,  37376
 407,  209,  37381
 408,  209,  37383
 409,  209,  37127
 410,  209,  37379
 411,  209,  37383
 412,  209,  37383
 405,  210,  37379
 406,  210,  37382
 407,  210,  37378
 408,  210,  37379
 409,  210,  37377
 410,  210,  37378
 411,  210,  37377
 412,  210,  37633
 402,  211,  37377
 403,  211,  37633
 404,  211,  37127
 405,  211,  37380
 406,  211,  37382
 407,  211,  37379
 408,  211,  37382
 409,  211,  37378
 410,  211,  37379
 411,  211,  37377
 412,  211,  37638
 413,  211,  37888
 400,  212,  37634
 401,  212,  37383
 402,  212,  37379
 403,  212,  37634
 404,  212,  37377
 405,  212,  37632
 406,  212,  37632
 407,  212,  37382
 408,  212,  37376
 409,  212,  37126
 410,  212,  37381
 411,  212,  37381
 412,  212,  37380
 413,  212,  37635
 414,  212,  37891
 401,  213,  37635
 402,  213,  37636
 403,  213,  37636
 404,  213,  37635
 405,  213,  37634
 406,  213,  37382
 407,  213,  37381
 408,  213,  37380
 409,  213,  37378
 410,  213,  37127
 411,  213,  37127
 412,  213,  37379
 413,  213,  37381
 414,  213,  37893
 401,  214,  37888
 402,  214,  37639
 403,  214,  37636
 404,  214,  37632
 405,  214,  37639
 406,  214,  37383
 407,  214,  37381
 408,  214,  37127
 409,  214,  37124
 410,  214,  36870
 411,  214,  36869
 412,  214,  37126
 413,  214,  37122
 414,  214,  37637
 415,  214,  37888
 402,  215,  37639
 403,  215,  37632
 404,  215,  37383
 405,  215,  37634
 406,  215,  37379
 407,  215,  37378
 408,  215,  37125
 409,  215,  37123
 410,  215,  36867
 411,  215,  36869
 412,  215,  37125
 413,  215,  37124
 414,  215,  37377
 415,  215,  37632
 416,  215,  37638
 403,  216,  37889
 404,  216,  37639
 405,  216,  37382
 406,  216,  37633
 407,  216,  37379
 408,  216,  37377
 409,  216,  37127
 410,  216,  37122
 411,  216,  36869
 412,  216,  37123
 413,  216,  37376
 414,  216,  37381
 415,  216,  37634
 416,  216,  37889
 417,  216,  37893
 404,  217,  37891
 405,  217,  37638
 406,  217,  37637
 407,  217,  37382
 408,  217,  37382
 409,  217,  37377
 410,  217,  37379
 411,  217,  37376
 412,  217,  37379
 413,  217,  37379
 414,  217,  37383
 415,  217,  37383
 416,  217,  37383
 417,  217,  37891
 404,  218,  37894
 405,  218,  37893
 406,  218,  37637
 407,  218,  37633
 408,  218,  37382
 409,  218,  37379
 410,  218,  37376
 411,  218,  37126
 412,  218,  37377
 413,  218,  37378
 414,  218,  37381
 415,  218,  37633
 416,  218,  37635
 417,  218,  37891
 418,  218,  37895
 405,  219,  37891
 406,  219,  37636
 407,  219,  37378
 408,  219,  37383
 409,  219,  37376
 410,  219,  37378
 411,  219,  37376
 412,  219,  37126
 413,  219,  37124
 414,  219,  37379
 415,  219,  37382
 416,  219,  37383
 417,  219,  37637
 406,  220,  37891
 407,  220,  37632
 408,  220,  37632
 409,  220,  37380
 410,  220,  37382
 411,  220,  37378
 412,  220,  37382
 413,  220,  37379
 414,  220,  37380
 415,  220,  37636
 407,  221,  37888
 408,  221,  37635
 409,  221,  37636
 410,  221,  37383
 411,  221,  37383
 412,  221,  37380
 413,  221,  37632
 414,  221,  37632
 407,  222,  37634
 408,  222,  37632
 409,  222,  37633
 410,  222,  37381
 411,  222,  37382
 412,  222,  37633
 408,  223,  37633
 409,  223,  37634
 410,  223,  37633
 411,  223,  37633
 409,  224,  37635
