; Number of ROIs: 1
; File Dimension: 640 x 480
;
; ROI name: ROI #7
; ROI rgb value: {128, 128, 0}
; ROI npts: 391
;
; File X, File Y, B1
;
 250,  261,  1280
 251,  261,  1282
 252,  261,   771
 253,  261,   258
 254,  261,  1536
 255,  261,  1793
 256,  261,  1026
 257,  261,   771
 258,  261,   772
 259,  261,   516
 250,  262,  1283
 251,  262,  1034
 252,  262,  1804
 253,  262,  1035
 254,  262,  1546
 255,  262,  1034
 256,  262,  1292
 257,  262,  1293
 258,  262,  1806
 259,  262,  1807
 260,  262,   784
 261,  262,   786
 262,  262,   276
 263,  262,   276
 264,  262,  1301
 265,  262,   275
 266,  262,  1299
 267,  262,   787
 268,  262,  1555
 269,  262,   528
 250,  263,   771
 251,  263,  1292
 252,  263,   524
 253,  263,  1036
 254,  263,  1292
 255,  263,    13
 256,  263,  1294
 257,  263,  1807
 258,  263,  1552
 259,  263,   271
 260,  263,   786
 261,  263,    19
 262,  263,   533
 263,  263,  1558
 264,  263,  1302
 265,  263,  1301
 266,  263,   277
 267,  263,  1045
 268,  263,    19
 269,  263,  1553
 250,  264,     2
 251,  264,    12
 252,  264,  1295
 253,  264,  1550
 254,  264,  1294
 255,  264,  1039
 256,  264,  1297
 257,  264,    16
 258,  264,   785
 259,  264,  1041
 260,  264,  1298
 261,  264,  1556
 262,  264,   277
 263,  264,   790
 264,  264,  1046
 265,  264,  1302
 266,  264,  1302
 267,  264,    20
 268,  264,   276
 269,  264,   784
 250,  265,  1026
 251,  265,  1548
 252,  265,   782
 253,  265,   268
 254,  265,   524
 255,  265,   782
 256,  265,   273
 257,  265,  1298
 258,  265,   529
 259,  265,    16
 260,  265,  1041
 261,  265,  1044
 262,  265,   277
 263,  265,  1302
 264,  265,   278
 265,  265,   789
 266,  265,   533
 267,  265,  1813
 268,  265,  1300
 269,  265,   272
 250,  266,  1284
 251,  266,    11
 252,  266,   268
 253,  266,   267
 254,  266,   266
 255,  266,  1805
 256,  266,  1551
 257,  266,    16
 258,  266,  1809
 259,  266,   785
 260,  266,   274
 261,  266,   788
 262,  266,  1045
 263,  266,  1302
 264,  266,   277
 265,  266,   276
 266,  266,   276
 267,  266,  1045
 268,  266,  1556
 269,  266,  1040
 250,  267,   774
 251,  267,  1036
 252,  267,  1805
 253,  267,   267
 254,  267,  1803
 255,  267,   268
 256,  267,   527
 257,  267,   272
 258,  267,  1810
 259,  267,  1299
 260,  267,   531
 261,  267,  1558
 262,  267,  1559
 263,  267,    22
 264,  267,   534
 265,  267,  1045
 266,  267,  1045
 267,  267,  1045
 268,  267,   531
 269,  267,    16
 250,  268,     8
 251,  268,   270
 252,  268,  1807
 253,  268,  1548
 254,  268,    11
 255,  268,    13
 256,  268,  1296
 257,  268,  1554
 258,  268,    19
 259,  268,    19
 260,  268,  1045
 261,  268,  1815
 262,  268,  1816
 263,  268,  1047
 264,  268,  1046
 265,  268,  1046
 266,  268,  1045
 267,  268,  1813
 268,  268,  1556
 269,  268,  1553
 250,  269,   265
 251,  269,    14
 252,  269,   526
 253,  269,   522
 254,  269,   267
 255,  269,  1038
 256,  269,  1809
 257,  269,  1811
 258,  269,  1555
 259,  269,  1810
 260,  269,   787
 261,  269,   790
 262,  269,  1815
 263,  269,  1814
 264,  269,  1558
 265,  269,   276
 266,  269,  1044
 267,  269,    19
 268,  269,  1043
 269,  269,    15
 250,  270,     9
 251,  270,   526
 252,  270,   781
 253,  270,  1034
 254,  270,  1547
 255,  270,   525
 256,  270,   272
 257,  270,   530
 258,  270,   529
 259,  270,  1297
 260,  270,    18
 261,  270,   532
 262,  270,    21
 263,  270,  1813
 264,  270,  1556
 265,  270,  1299
 266,  270,  1555
 267,  270,   531
 268,  270,   530
 269,  270,   782
 249,  271,   262
 250,  271,   779
 251,  271,    14
 252,  271,  1037
 253,  271,  1289
 254,  271,   265
 255,  271,   524
 256,  271,   784
 257,  271,  1041
 258,  271,  1809
 259,  271,  1552
 260,  271,   273
 261,  271,   787
 262,  271,   276
 263,  271,  1044
 264,  271,   786
 265,  271,  1808
 266,  271,    17
 267,  271,   274
 268,  271,  1810
 269,  271,  1293
 249,  272,  1283
 250,  272,  1550
 251,  272,  1040
 252,  272,    14
 253,  272,  1291
 254,  272,   267
 255,  272,    14
 256,  272,  1810
 257,  272,  1555
 258,  272,  1811
 259,  272,   272
 260,  272,   786
 261,  272,  1300
 262,  272,   533
 263,  272,  1557
 264,  272,  1554
 265,  272,  1553
 266,  272,  1298
 267,  272,  1555
 268,  272,   274
 249,  273,   774
 250,  273,  1808
 251,  273,  1809
 252,  273,    15
 253,  273,  1550
 254,  273,  1806
 255,  273,   271
 256,  273,  1299
 257,  273,    19
 258,  273,  1556
 259,  273,  1043
 260,  273,    19
 261,  273,  1302
 262,  273,    21
 263,  273,  1045
 264,  273,  1810
 265,  273,  1810
 266,  273,  1810
 267,  273,  1556
 268,  273,  1044
 249,  274,   520
 250,  274,    16
 251,  274,  1042
 252,  274,   529
 253,  274,  1551
 254,  274,  1039
 255,  274,  1042
 256,  274,  1044
 257,  274,  1813
 258,  274,  1301
 259,  274,  1044
 260,  274,  1813
 261,  274,  1559
 262,  274,   534
 263,  274,  1302
 264,  274,  1555
 265,  274,  1809
 266,  274,  1555
