; Number of ROIs: 1
; File Dimension: 640 x 480
;
; ROI name: ROI #13
; ROI rgb value: {127, 255, 0}
; ROI npts: 274
;
; File X, File Y, B1
;
 389,  277,  40194
 387,  278,  39941
 388,  278,  40196
 389,  278,  40451
 385,  279,  39425
 386,  279,  39686
 387,  279,  39939
 388,  279,  40193
 389,  279,  40194
 384,  280,  38916
 385,  280,  39174
 386,  280,  39681
 387,  280,  39938
 388,  280,  39943
 389,  280,  40199
 382,  281,  38660
 383,  281,  38662
 384,  281,  38919
 385,  281,  39424
 386,  281,  39686
 387,  281,  40195
 388,  281,  40449
 389,  281,  40199
 390,  281,  40455
 381,  282,  38406
 382,  282,  38407
 383,  282,  38914
 384,  282,  39171
 385,  282,  39428
 386,  282,  39936
 387,  282,  40194
 388,  282,  40453
 389,  282,  40704
 390,  282,  40706
 379,  283,  39172
 380,  283,  38918
 381,  283,  38915
 382,  283,  38916
 383,  283,  39170
 384,  283,  39424
 385,  283,  39684
 386,  283,  39937
 387,  283,  40195
 388,  283,  40705
 389,  283,  40709
 390,  283,  40707
 377,  284,  40452
 378,  284,  39940
 379,  284,  39681
 380,  284,  39424
 381,  284,  39170
 382,  284,  39424
 383,  284,  39429
 384,  284,  39683
 385,  284,  39938
 386,  284,  39938
 387,  284,  40193
 388,  284,  40453
 389,  284,  40706
 390,  284,  40705
 376,  285,  40965
 377,  285,  40706
 378,  285,  39942
 379,  285,  39938
 380,  285,  39939
 381,  285,  39936
 382,  285,  39686
 383,  285,  39940
 384,  285,  39941
 385,  285,  39938
 386,  285,  39943
 387,  285,  40197
 388,  285,  40704
 389,  285,  40706
 390,  285,  40709
 376,  286,  41217
 377,  286,  40710
 378,  286,  40449
 379,  286,  40193
 380,  286,  40449
 381,  286,  40197
 382,  286,  40194
 383,  286,  40193
 384,  286,  39936
 385,  286,  39940
 386,  286,  40197
 387,  286,  40448
 388,  286,  40704
 389,  286,  40709
 390,  286,  40708
 377,  287,  40965
 378,  287,  40454
 379,  287,  40453
 380,  287,  40704
 381,  287,  40450
 382,  287,  40196
 383,  287,  39938
 384,  287,  39936
 385,  287,  40197
 386,  287,  40199
 387,  287,  40455
 388,  287,  40704
 389,  287,  40706
 390,  287,  40711
 377,  288,  40964
 378,  288,  40455
 379,  288,  40706
 380,  288,  40709
 381,  288,  40709
 382,  288,  40199
 383,  288,  40192
 384,  288,  39943
 385,  288,  40449
 386,  288,  40705
 387,  288,  40709
 388,  288,  40707
 389,  288,  40962
 390,  288,  40707
 378,  289,  40964
 379,  289,  40964
 380,  289,  41216
 381,  289,  40963
 382,  289,  40704
 383,  289,  40451
 384,  289,  40449
 385,  289,  40449
 386,  289,  40708
 387,  289,  40966
 388,  289,  40966
 389,  289,  40966
 390,  289,  40963
 391,  289,  40966
 378,  290,  41218
 379,  290,  41474
 380,  290,  41223
 381,  290,  41477
 382,  290,  41472
 383,  290,  40710
 384,  290,  40704
 385,  290,  40711
 386,  290,  40964
 387,  290,  41222
 388,  290,  41222
 389,  290,  41472
 390,  290,  41218
 391,  290,  41219
 379,  291,  41729
 380,  291,  41732
 381,  291,  41734
 382,  291,  41220
 383,  291,  40964
 384,  291,  40710
 385,  291,  40453
 386,  291,  40711
 387,  291,  41218
 388,  291,  41477
 389,  291,  41221
 390,  291,  41222
 391,  291,  41221
 379,  292,  41731
 380,  292,  41735
 381,  292,  41732
 382,  292,  41472
 383,  292,  40965
 384,  292,  40451
 385,  292,  40451
 386,  292,  40451
 387,  292,  40963
 388,  292,  41472
 389,  292,  41221
 390,  292,  41475
 391,  292,  41477
 379,  293,  41478
 380,  293,  41477
 381,  293,  41478
 382,  293,  41473
 383,  293,  40710
 384,  293,  40453
 385,  293,  40195
 386,  293,  40451
 387,  293,  40709
 388,  293,  41216
 389,  293,  41472
 390,  293,  41474
 391,  293,  41479
 380,  294,  41221
 381,  294,  41220
 382,  294,  40962
 383,  294,  40451
 384,  294,  40193
 385,  294,  39941
 386,  294,  39940
 387,  294,  40454
 388,  294,  41216
 389,  294,  41221
 390,  294,  41217
 391,  294,  41728
 380,  295,  40967
 381,  295,  40966
 382,  295,  40711
 383,  295,  40452
 384,  295,  40195
 385,  295,  39943
 386,  295,  40195
 387,  295,  40708
 388,  295,  40965
 389,  295,  41221
 390,  295,  41221
 391,  295,  41477
 381,  296,  41219
 382,  296,  40709
 383,  296,  40450
 384,  296,  40452
 385,  296,  40451
 386,  296,  40448
 387,  296,  40707
 388,  296,  40962
 389,  296,  40967
 390,  296,  41220
 391,  296,  41473
 381,  297,  40963
 382,  297,  40705
 383,  297,  40704
 384,  297,  40452
 385,  297,  40706
 386,  297,  40454
 387,  297,  40709
 388,  297,  40709
 389,  297,  40711
 390,  297,  40711
 391,  297,  40966
 392,  297,  41478
 382,  298,  40711
 383,  298,  40709
 384,  298,  40711
 385,  298,  40705
 386,  298,  40711
 387,  298,  40711
 388,  298,  40961
 389,  298,  40960
 390,  298,  40455
 391,  298,  40711
 392,  298,  41472
 382,  299,  40960
 383,  299,  40965
 384,  299,  40964
 385,  299,  40962
 386,  299,  40967
 387,  299,  40967
 388,  299,  40965
 389,  299,  40704
 390,  299,  40709
 391,  299,  40706
 392,  299,  41221
 383,  300,  41221
 384,  300,  41216
 385,  300,  40965
 386,  300,  40710
 387,  300,  40964
 388,  300,  40963
 389,  300,  40704
 390,  300,  40705
 391,  300,  40710
