; Number of ROIs: 1
; File Dimension: 640 x 480
;
; ROI name: ROI #12
; ROI rgb value: {255, 127, 80}
; ROI npts: 458
;
; File X, File Y, B1
;
 306,  233,  44294
 307,  233,  44289
 308,  233,  44034
 309,  233,  44035
 310,  233,  44288
 311,  233,  44292
 312,  233,  44038
 313,  233,  44036
 314,  233,  44037
 315,  233,  44037
 316,  233,  44293
 317,  233,  44551
 306,  234,  44546
 307,  234,  44036
 308,  234,  44035
 309,  234,  43782
 310,  234,  44033
 311,  234,  44032
 312,  234,  43782
 313,  234,  43776
 314,  234,  43777
 315,  234,  43778
 316,  234,  44288
 317,  234,  44545
 318,  234,  44548
 319,  234,  44294
 320,  234,  43780
 321,  234,  43523
 322,  234,  42759
 323,  234,  42499
 324,  234,  42496
 325,  234,  42240
 326,  234,  41989
 327,  234,  41991
 328,  234,  41989
 329,  234,  42241
 306,  235,  45056
 307,  235,  44290
 308,  235,  43780
 309,  235,  43778
 310,  235,  44034
 311,  235,  43783
 312,  235,  43781
 313,  235,  43521
 314,  235,  43520
 315,  235,  43524
 316,  235,  43782
 317,  235,  44289
 318,  235,  44295
 319,  235,  44289
 320,  235,  43776
 321,  235,  43265
 322,  235,  42753
 323,  235,  42501
 324,  235,  42246
 325,  235,  42240
 326,  235,  42243
 327,  235,  42240
 328,  235,  42240
 329,  235,  42242
 306,  236,  45058
 307,  236,  44289
 308,  236,  43783
 309,  236,  43781
 310,  236,  43780
 311,  236,  43781
 312,  236,  43527
 313,  236,  43270
 314,  236,  43265
 315,  236,  43521
 316,  236,  43778
 317,  236,  44033
 318,  236,  44037
 319,  236,  43779
 320,  236,  43265
 321,  236,  42756
 322,  236,  42752
 323,  236,  42246
 324,  236,  42245
 325,  236,  42240
 326,  236,  41990
 327,  236,  42243
 328,  236,  42245
 329,  236,  42240
 306,  237,  45314
 307,  237,  44295
 308,  237,  44035
 309,  237,  43779
 310,  237,  44038
 311,  237,  44032
 312,  237,  43779
 313,  237,  43521
 314,  237,  43270
 315,  237,  43520
 316,  237,  43526
 317,  237,  43780
 318,  237,  43776
 319,  237,  43269
 320,  237,  43013
 321,  237,  42756
 322,  237,  42503
 323,  237,  42498
 324,  237,  42246
 325,  237,  42245
 326,  237,  42241
 327,  237,  42496
 328,  237,  42496
 329,  237,  42498
 306,  238,  45056
 307,  238,  44037
 308,  238,  43522
 309,  238,  43524
 310,  238,  43776
 311,  238,  43524
 312,  238,  43269
 313,  238,  43266
 314,  238,  43264
 315,  238,  43265
 316,  238,  43270
 317,  238,  43521
 318,  238,  43015
 319,  238,  42758
 320,  238,  42503
 321,  238,  42501
 322,  238,  42502
 323,  238,  42244
 324,  238,  42246
 325,  238,  42499
 326,  238,  42247
 327,  238,  42497
 328,  238,  42496
 329,  238,  42496
 306,  239,  44548
 307,  239,  43782
 308,  239,  43270
 309,  239,  43266
 310,  239,  43269
 311,  239,  43525
 312,  239,  43521
 313,  239,  43265
 314,  239,  42759
 315,  239,  43011
 316,  239,  43267
 317,  239,  43013
 318,  239,  43008
 319,  239,  42500
 320,  239,  42498
 321,  239,  42502
 322,  239,  42247
 323,  239,  42245
 324,  239,  42502
 325,  239,  42753
 326,  239,  42756
 327,  239,  42501
 328,  239,  42501
 329,  239,  42502
 306,  240,  43779
 307,  240,  43267
 308,  240,  42755
 309,  240,  42754
 310,  240,  42757
 311,  240,  43013
 312,  240,  43014
 313,  240,  43265
 314,  240,  42756
 315,  240,  42759
 316,  240,  43012
 317,  240,  43013
 318,  240,  42754
 319,  240,  42501
 320,  240,  42246
 321,  240,  42241
 322,  240,  42243
 323,  240,  42496
 324,  240,  42503
 325,  240,  43010
 326,  240,  42758
 327,  240,  42753
 328,  240,  42497
 329,  240,  42499
 306,  241,  43265
 307,  241,  42756
 308,  241,  42503
 309,  241,  42246
 310,  241,  42497
 311,  241,  43009
 312,  241,  42755
 313,  241,  42758
 314,  241,  42754
 315,  241,  43009
 316,  241,  43009
 317,  241,  43014
 318,  241,  43010
 319,  241,  42503
 320,  241,  42245
 321,  241,  42245
 322,  241,  42246
 323,  241,  42497
 324,  241,  42755
 325,  241,  43010
 326,  241,  43270
 327,  241,  43268
 328,  241,  42757
 329,  241,  42503
 306,  242,  42501
 307,  242,  42501
 308,  242,  41989
 309,  242,  42245
 310,  242,  42245
 311,  242,  42245
 312,  242,  42498
 313,  242,  42752
 314,  242,  42753
 315,  242,  43010
 316,  242,  43522
 317,  242,  43776
 318,  242,  43271
 319,  242,  42757
 320,  242,  42499
 321,  242,  42245
 322,  242,  42242
 323,  242,  42497
 324,  242,  42758
 325,  242,  43012
 326,  242,  43268
 327,  242,  43267
 328,  242,  43013
 329,  242,  42758
 307,  243,  41732
 308,  243,  41477
 309,  243,  41984
 310,  243,  42241
 311,  243,  42499
 312,  243,  42498
 313,  243,  42502
 314,  243,  42753
 315,  243,  43264
 316,  243,  43526
 317,  243,  43779
 318,  243,  43779
 319,  243,  43268
 320,  243,  42755
 321,  243,  42502
 322,  243,  42497
 323,  243,  42501
 324,  243,  42756
 325,  243,  43266
 326,  243,  43268
 327,  243,  43524
 328,  243,  43523
 329,  243,  43520
 307,  244,  40705
 308,  244,  41220
 309,  244,  41729
 310,  244,  41986
 311,  244,  42246
 312,  244,  42498
 313,  244,  42752
 314,  244,  42756
 315,  244,  43267
 316,  244,  43782
 317,  244,  44037
 318,  244,  44032
 319,  244,  43524
 320,  244,  43011
 321,  244,  42756
 322,  244,  42755
 323,  244,  42502
 324,  244,  42759
 325,  244,  43266
 326,  244,  43271
 327,  244,  43522
 328,  244,  43520
 329,  244,  43523
 307,  245,  39940
 308,  245,  40196
 309,  245,  40960
 310,  245,  41475
 311,  245,  41990
 312,  245,  41990
 313,  245,  42498
 314,  245,  42756
 315,  245,  43268
 316,  245,  44032
 317,  245,  44288
 318,  245,  44039
 319,  245,  43777
 320,  245,  43267
 321,  245,  43010
 322,  245,  42758
 323,  245,  43008
 324,  245,  43011
 325,  245,  43013
 326,  245,  43267
 327,  245,  43013
 328,  245,  43264
 329,  245,  43264
 307,  246,  39685
 308,  246,  39687
 309,  246,  40196
 310,  246,  40710
 311,  246,  41472
 312,  246,  41987
 313,  246,  42496
 314,  246,  42754
 315,  246,  43270
 316,  246,  43783
 317,  246,  44292
 318,  246,  44291
 319,  246,  44032
 320,  246,  43524
 321,  246,  43013
 322,  246,  43011
 323,  246,  43012
 324,  246,  43008
 325,  246,  43011
 326,  246,  43010
 327,  246,  43009
 328,  246,  43013
 329,  246,  43012
 307,  247,  40455
 308,  247,  40197
 309,  247,  40194
 310,  247,  40454
 311,  247,  40960
 312,  247,  41476
 313,  247,  42241
 314,  247,  42503
 315,  247,  43522
 316,  247,  44033
 317,  247,  44295
 318,  247,  44544
 319,  247,  44290
 320,  247,  43778
 321,  247,  43266
 322,  247,  42756
 323,  247,  43010
 324,  247,  42759
 325,  247,  42754
 326,  247,  42753
 327,  247,  42759
 328,  247,  42757
 329,  247,  43008
 307,  248,  42240
 308,  248,  41472
 309,  248,  40964
 310,  248,  40967
 311,  248,  40964
 312,  248,  41477
 313,  248,  42243
 314,  248,  43008
 315,  248,  43525
 316,  248,  44035
 317,  248,  44544
 318,  248,  44295
 319,  248,  44039
 320,  248,  44032
 321,  248,  43271
 322,  248,  43013
 323,  248,  43008
 324,  248,  43009
 325,  248,  43011
 326,  248,  42502
 327,  248,  42752
 328,  248,  42753
 329,  248,  42756
 307,  249,  43521
 308,  249,  42755
 309,  249,  42244
 310,  249,  41984
 311,  249,  41734
 312,  249,  41990
 313,  249,  42497
 314,  249,  42758
 315,  249,  43524
 316,  249,  44291
 317,  249,  44294
 318,  249,  44544
 319,  249,  44290
 320,  249,  44035
 321,  249,  43776
 322,  249,  43015
 323,  249,  43008
 324,  249,  43011
 325,  249,  42757
 326,  249,  42502
 327,  249,  42499
 328,  249,  42245
 329,  249,  42240
 307,  250,  43782
