; Number of ROIs: 1
; File Dimension: 640 x 480
;
; ROI name: ROI #7
; ROI rgb value: {128, 128, 0}
; ROI npts: 49
;
; File X, File Y, B1
;
 307,  252,  65289
 308,  252,  65287
 309,  252,  65285
 310,  252,  65292
 311,  252,  65288
 312,  252,  65285
 313,  252,  65286
 307,  253,  65295
 308,  253,  65286
 309,  253,  65288
 310,  253,  65280
 311,  253,  65290
 312,  253,  65284
 313,  253,  65290
 307,  254,  65292
 308,  254,  65285
 309,  254,  65295
 310,  254,  65289
 311,  254,  65295
 312,  254,  65294
 313,  254,  65293
 307,  255,  65290
 308,  255,  65286
 309,  255,  65282
 310,  255,  65295
 311,  255,  65282
 312,  255,  65286
 313,  255,  65288
 307,  256,  65291
 308,  256,  65284
 309,  256,  65295
 310,  256,  65287
 311,  256,  65285
 312,  256,  65289
 313,  256,  65286
 307,  257,  65289
 308,  257,  65294
 309,  257,  65293
 310,  257,  65282
 311,  257,  65288
 312,  257,  65287
 313,  257,  65290
 307,  258,  65293
 308,  258,  65285
 309,  258,  65281
 310,  258,  65295
 311,  258,  65284
 312,  258,  65295
 313,  258,  65290
