; Number of ROIs: 1
; File Dimension: 640 x 480
;
; ROI name: ROI #5
; ROI rgb value: {0, 255, 255}
; ROI npts: 237
;
; File X, File Y, B1
;
 317,  212,  56582
 318,  212,  56581
 319,  212,  56325
 320,  212,  56065
 321,  212,  55301
 322,  212,  55045
 323,  212,  54531
 324,  212,  54532
 325,  212,  55046
 317,  213,  56577
 318,  213,  56322
 319,  213,  56321
 320,  213,  55558
 321,  213,  55046
 322,  213,  54791
 323,  213,  54274
 324,  213,  54021
 325,  213,  54787
 326,  213,  55812
 327,  213,  56576
 328,  213,  56582
 329,  213,  56327
 330,  213,  56324
 331,  213,  56064
 332,  213,  55558
 333,  213,  54535
 317,  214,  56579
 318,  214,  56327
 319,  214,  56323
 320,  214,  55553
 321,  214,  55302
 322,  214,  55041
 323,  214,  54787
 324,  214,  54788
 325,  214,  55555
 326,  214,  56578
 327,  214,  57088
 328,  214,  56835
 329,  214,  56579
 330,  214,  56577
 331,  214,  56069
 332,  214,  55809
 333,  214,  55041
 317,  215,  56581
 318,  215,  56582
 319,  215,  56069
 320,  215,  55556
 321,  215,  55300
 322,  215,  55046
 323,  215,  55299
 324,  215,  55556
 325,  215,  56326
 326,  215,  57093
 327,  215,  57345
 328,  215,  56837
 329,  215,  56582
 330,  215,  56321
 331,  215,  56322
 332,  215,  55815
 333,  215,  55045
 317,  216,  56327
 318,  216,  56580
 319,  216,  56067
 320,  216,  55553
 321,  216,  55302
 322,  216,  55041
 323,  216,  55297
 324,  216,  55302
 325,  216,  56321
 326,  216,  57094
 327,  216,  57095
 328,  216,  56580
 329,  216,  56326
 330,  216,  56320
 331,  216,  56320
 332,  216,  56070
 333,  216,  55552
 317,  217,  56576
 318,  217,  56322
 319,  217,  56068
 320,  217,  55557
 321,  217,  55299
 322,  217,  55042
 323,  217,  54790
 324,  217,  54787
 325,  217,  55557
 326,  217,  56578
 327,  217,  56834
 328,  217,  56579
 329,  217,  56324
 330,  217,  56325
 331,  217,  56581
 332,  217,  56324
 333,  217,  55811
 317,  218,  56325
 318,  218,  56071
 319,  218,  56068
 320,  218,  56066
 321,  218,  55552
 322,  218,  55040
 323,  218,  54277
 324,  218,  54274
 325,  218,  55044
 326,  218,  56066
 327,  218,  56832
 328,  218,  56838
 329,  218,  56835
 330,  218,  56833
 331,  218,  56577
 332,  218,  56324
 333,  218,  55810
 316,  219,  57088
 317,  219,  56832
 318,  219,  56836
 319,  219,  56325
 320,  219,  55554
 321,  219,  55043
 322,  219,  54791
 323,  219,  54531
 324,  219,  54275
 325,  219,  55047
 326,  219,  56325
 327,  219,  57347
 328,  219,  57347
 329,  219,  57088
 330,  219,  56833
 331,  219,  56326
 332,  219,  56067
 333,  219,  55552
 316,  220,  57349
 317,  220,  57349
 318,  220,  56838
 319,  220,  56320
 320,  220,  55559
 321,  220,  55042
 322,  220,  55040
 323,  220,  54533
 324,  220,  55040
 325,  220,  56066
 326,  220,  57094
 327,  220,  57601
 328,  220,  57091
 329,  220,  56837
 330,  220,  56832
 331,  220,  56324
 332,  220,  56064
 333,  220,  55302
 316,  221,  57344
 317,  221,  57088
 318,  221,  56834
 319,  221,  56065
 320,  221,  55299
 321,  221,  55041
 322,  221,  54785
 323,  221,  54535
 324,  221,  54790
 325,  221,  55815
 326,  221,  57088
 327,  221,  57344
 328,  221,  56833
 329,  221,  56578
 330,  221,  56320
 331,  221,  56066
 332,  221,  55559
 333,  221,  54791
 316,  222,  57091
 317,  222,  56836
 318,  222,  56579
 319,  222,  55811
 320,  222,  55045
 321,  222,  54535
 322,  222,  54528
 323,  222,  54023
 324,  222,  54277
 325,  222,  55043
 326,  222,  56070
 327,  222,  56577
 328,  222,  56070
 329,  222,  55814
 330,  222,  55810
 331,  222,  55555
 332,  222,  55552
 333,  222,  55042
 316,  223,  56835
 317,  223,  56580
 318,  223,  56071
 319,  223,  55555
 320,  223,  54785
 321,  223,  54279
 322,  223,  54021
 323,  223,  53762
 324,  223,  53762
 325,  223,  54530
 326,  223,  55809
 327,  223,  56068
 328,  223,  55555
 329,  223,  55301
 330,  223,  55045
 331,  223,  55045
 332,  223,  55297
 333,  223,  54535
 316,  224,  56581
 317,  224,  56324
 318,  224,  55810
 319,  224,  55042
 320,  224,  54535
 321,  224,  54022
 322,  224,  54018
 323,  224,  53767
 324,  224,  54275
 325,  224,  55042
 326,  224,  56065
 327,  224,  55815
 328,  224,  55303
 329,  224,  55296
 330,  224,  55043
 331,  224,  55043
 332,  224,  54789
 333,  224,  54277
 316,  225,  56838
 317,  225,  56833
 318,  225,  55814
 319,  225,  55300
 320,  225,  54791
 321,  225,  54790
 322,  225,  54535
 323,  225,  54791
 324,  225,  55296
 325,  225,  55814
 326,  225,  56323
 327,  225,  56068
 328,  225,  55556
 329,  225,  55552
 330,  225,  55047
 331,  225,  55041
 332,  225,  54789
 333,  225,  54277
