; Number of ROIs: 1
; File Dimension: 640 x 480
;
; ROI name: ROI #10
; ROI rgb value: {0, 255, 0}
; ROI npts: 28
;
; File X, File Y, B1
;
 332,  286,  22790
 333,  286,  22274
 334,  286,  22530
 335,  286,  23558
 336,  286,  25093
 332,  287,  21766
 333,  287,  21250
 334,  287,  21763
 335,  287,  22791
 336,  287,  24577
 332,  288,  21507
 333,  288,  20741
 334,  288,  21504
 335,  288,  22274
 336,  288,  23815
 332,  289,  21761
 333,  289,  20999
 334,  289,  21507
 335,  289,  22276
 336,  289,  24068
 332,  290,  22023
 333,  290,  21763
 334,  290,  22018
 335,  290,  22790
 336,  290,  24580
 334,  291,  23554
 335,  291,  24576
 336,  291,  25858
