; Number of ROIs: 1
; File Dimension: 640 x 480
;
; ROI name: ROI #16
; ROI rgb value: {255, 165, 0}
; ROI npts: 156
;
; File X, File Y, B1
;
 385,  278,  44292
 386,  278,  45316
 387,  278,  45312
 388,  278,  44549
 389,  278,  44034
 390,  278,  43265
 391,  278,  42756
 392,  278,  42498
 393,  278,  42244
 394,  278,  42240
 395,  278,  41984
 396,  278,  41733
 397,  278,  41729
 398,  278,  41222
 386,  279,  45061
 387,  279,  45570
 388,  279,  45056
 389,  279,  44288
 390,  279,  43271
 391,  279,  42759
 392,  279,  42501
 393,  279,  42241
 394,  279,  41985
 395,  279,  41986
 396,  279,  41475
 397,  279,  41223
 398,  279,  41218
 386,  280,  44294
 387,  280,  45570
 388,  280,  45313
 389,  280,  44549
 390,  280,  43778
 391,  280,  43009
 392,  280,  42501
 393,  280,  42241
 394,  280,  41734
 395,  280,  41732
 396,  280,  41478
 397,  280,  41472
 398,  280,  40966
 399,  280,  40960
 387,  281,  45315
 388,  281,  45318
 389,  281,  44800
 390,  281,  43781
 391,  281,  43013
 392,  281,  42752
 393,  281,  42242
 394,  281,  41985
 395,  281,  41734
 396,  281,  41729
 397,  281,  41475
 398,  281,  41217
 399,  281,  41216
 387,  282,  44547
 388,  282,  45568
 389,  282,  45058
 390,  282,  44288
 391,  282,  43271
 392,  282,  42756
 393,  282,  42497
 394,  282,  42241
 395,  282,  41987
 396,  282,  41735
 397,  282,  41731
 398,  282,  41476
 399,  282,  41475
 388,  283,  45313
 389,  283,  45312
 390,  283,  44293
 391,  283,  43776
 392,  283,  42759
 393,  283,  42498
 394,  283,  42243
 395,  283,  41991
 396,  283,  41984
 397,  283,  41731
 398,  283,  41729
 399,  283,  41475
 400,  283,  41220
 388,  284,  44804
 389,  284,  45573
 390,  284,  44804
 391,  284,  43782
 392,  284,  43015
 393,  284,  42501
 394,  284,  42243
 395,  284,  42245
 396,  284,  41987
 397,  284,  41735
 398,  284,  41731
 399,  284,  41472
 400,  284,  41223
 389,  285,  45316
 390,  285,  45057
 391,  285,  44290
 392,  285,  43522
 393,  285,  42752
 394,  285,  42499
 395,  285,  42246
 396,  285,  41991
 397,  285,  41986
 398,  285,  41735
 399,  285,  41730
 400,  285,  41474
 401,  285,  41473
 389,  286,  45312
 390,  286,  45312
 391,  286,  44292
 392,  286,  43527
 393,  286,  43015
 394,  286,  42500
 395,  286,  42247
 396,  286,  42247
 397,  286,  42244
 398,  286,  41989
 399,  286,  41734
 400,  286,  41478
 401,  286,  41474
 390,  287,  45568
 391,  287,  44805
 392,  287,  44035
 393,  287,  43267
 394,  287,  43008
 395,  287,  42754
 396,  287,  42502
 397,  287,  42245
 398,  287,  42242
 399,  287,  41988
 400,  287,  41986
 401,  287,  41474
 390,  288,  45572
 391,  288,  45063
 392,  288,  44546
 393,  288,  43776
 394,  288,  43265
 395,  288,  42757
 396,  288,  42753
 397,  288,  42502
 398,  288,  42243
 399,  288,  41990
 400,  288,  41986
 401,  288,  41223
 402,  288,  41223
 391,  289,  45569
 392,  289,  44804
 393,  289,  44033
 394,  289,  43522
 395,  289,  43008
 396,  289,  42755
 397,  289,  42502
 398,  289,  42503
 399,  289,  42246
 400,  289,  41733
 401,  289,  41476
 402,  289,  41222
