; Number of ROIs: 1
; File Dimension: 640 x 480
;
; ROI name: ROI #54
; ROI rgb value: {128, 0, 0}
; ROI npts: 60
;
; File X, File Y, B1
;
 357,  213,  40199
 358,  213,  40453
 359,  213,  40704
 360,  213,  40961
 353,  214,  40195
 354,  214,  40196
 355,  214,  39943
 356,  214,  39941
 357,  214,  40451
 358,  214,  40450
 359,  214,  40199
 360,  214,  40962
 353,  215,  40448
 354,  215,  39939
 355,  215,  39942
 356,  215,  40198
 357,  215,  40196
 358,  215,  40449
 359,  215,  40449
 360,  215,  40960
 353,  216,  40451
 354,  216,  40198
 355,  216,  40192
 356,  216,  40199
 357,  216,  40453
 358,  216,  40451
 359,  216,  40706
 360,  216,  40709
 353,  217,  40707
 354,  217,  40706
 355,  217,  40455
 356,  217,  40709
 357,  217,  40710
 358,  217,  40708
 359,  217,  40711
 360,  217,  40966
 353,  218,  40454
 354,  218,  40704
 355,  218,  40960
 356,  218,  40964
 357,  218,  40960
 358,  218,  40960
 359,  218,  40709
 360,  218,  40961
 353,  219,  40707
 354,  219,  40707
 355,  219,  40711
 356,  219,  40961
 357,  219,  40965
 358,  219,  40966
 359,  219,  40710
 360,  219,  40964
 353,  220,  40454
 354,  220,  40705
 355,  220,  40707
 356,  220,  40960
 357,  220,  40960
 358,  220,  41217
 359,  220,  40960
 360,  220,  40965
