; Number of ROIs: 1
; File Dimension: 640 x 480
;
; ROI name: ROI #31
; ROI rgb value: {240, 230, 140}
; ROI npts: 109
;
; File X, File Y, B1
;
 376,  278,  36612
 377,  278,  36867
 378,  278,  36867
 371,  279,  36611
 372,  279,  36103
 373,  279,  36355
 374,  279,  36099
 375,  279,  36354
 376,  279,  36356
 377,  279,  36357
 378,  279,  36868
 379,  279,  37120
 368,  280,  36864
 369,  280,  36610
 370,  280,  36357
 371,  280,  36358
 372,  280,  36355
 373,  280,  36100
 374,  280,  36096
 375,  280,  36097
 376,  280,  36102
 377,  280,  36353
 378,  280,  36613
 379,  280,  36866
 368,  281,  36613
 369,  281,  36864
 370,  281,  36610
 371,  281,  36609
 372,  281,  36102
 373,  281,  36098
 374,  281,  36098
 375,  281,  35844
 376,  281,  36103
 377,  281,  36354
 378,  281,  36357
 379,  281,  36613
 380,  281,  36867
 369,  282,  36613
 370,  282,  36613
 371,  282,  36357
 372,  282,  36609
 373,  282,  36355
 374,  282,  36103
 375,  282,  36352
 376,  282,  36357
 377,  282,  36354
 378,  282,  36357
 379,  282,  36609
 380,  282,  36867
 381,  282,  37125
 369,  283,  36869
 370,  283,  36865
 371,  283,  36612
 372,  283,  36355
 373,  283,  36358
 374,  283,  36355
 375,  283,  36103
 376,  283,  36103
 377,  283,  36353
 378,  283,  36353
 379,  283,  36609
 380,  283,  36615
 381,  283,  37122
 370,  284,  36866
 371,  284,  36615
 372,  284,  36609
 373,  284,  36609
 374,  284,  36608
 375,  284,  36100
 376,  284,  36355
 377,  284,  36356
 378,  284,  36609
 379,  284,  36611
 380,  284,  36870
 381,  284,  37122
 382,  284,  37378
 370,  285,  36865
 371,  285,  36613
 372,  285,  36357
 373,  285,  36611
 374,  285,  36357
 375,  285,  36354
 376,  285,  36609
 377,  285,  36354
 378,  285,  36611
 379,  285,  36613
 380,  285,  36611
 381,  285,  37120
 371,  286,  36613
 372,  286,  36611
 373,  286,  36611
 374,  286,  36358
 375,  286,  36608
 376,  286,  36608
 377,  286,  36359
 378,  286,  36615
 379,  286,  36614
 371,  287,  36612
 372,  287,  36613
 373,  287,  36357
 374,  287,  36612
 375,  287,  36613
 376,  287,  36613
 377,  287,  36865
 372,  288,  36615
 373,  288,  36356
 374,  288,  36614
 375,  288,  36867
 372,  289,  36867
