; Number of ROIs: 1
; File Dimension: 640 x 480
;
; ROI name: ROI #46
; ROI rgb value: {255, 0, 0}
; ROI npts: 78
;
; File X, File Y, B1
;
 384,  289,  38658
 382,  290,  37895
 383,  290,  38404
 384,  290,  38912
 381,  291,  37634
 382,  291,  38145
 383,  291,  38658
 384,  291,  39168
 385,  291,  39173
 380,  292,  37634
 381,  292,  37889
 382,  292,  38404
 383,  292,  38916
 384,  292,  38918
 385,  292,  39426
 378,  293,  38402
 379,  293,  37891
 380,  293,  37890
 381,  293,  38150
 382,  293,  38662
 383,  293,  38917
 384,  293,  39172
 385,  293,  39425
 377,  294,  39171
 378,  294,  38657
 379,  294,  38407
 380,  294,  38656
 381,  294,  38661
 382,  294,  38656
 383,  294,  38918
 384,  294,  39427
 385,  294,  39173
 377,  295,  39428
 378,  295,  38918
 379,  295,  38918
 380,  295,  38912
 381,  295,  38912
 382,  295,  39172
 383,  295,  39424
 384,  295,  39427
 385,  295,  39682
 386,  295,  39430
 378,  296,  39428
 379,  296,  39427
 380,  296,  39428
 381,  296,  39428
 382,  296,  39431
 383,  296,  39683
 384,  296,  39937
 385,  296,  39686
 386,  296,  39938
 378,  297,  40193
 379,  297,  39943
 380,  297,  40194
 381,  297,  39682
 382,  297,  39936
 383,  297,  39683
 384,  297,  39940
 385,  297,  39938
 386,  297,  39936
 378,  298,  40453
 379,  298,  40706
 380,  298,  40450
 381,  298,  39936
 382,  298,  39680
 383,  298,  39685
 384,  298,  40194
 385,  298,  40197
 378,  299,  40453
 379,  299,  40199
 380,  299,  39939
 381,  299,  39172
 382,  299,  38919
 383,  299,  39430
 379,  300,  40193
 380,  300,  39686
 381,  300,  39168
 379,  301,  40196
