; Number of ROIs: 1
; File Dimension: 640 x 480
;
; ROI name: ROI #56
; ROI rgb value: {0, 0, 128}
; ROI npts: 68
;
; File X, File Y, B1
;
 344,  106,  44034
 345,  106,  43780
 346,  106,  43780
 347,  106,  43778
 344,  107,  43527
 345,  107,  43777
 346,  107,  43781
 347,  107,  43781
 348,  107,  43780
 349,  107,  44034
 350,  107,  44033
 344,  108,  43780
 345,  108,  44032
 346,  108,  44035
 347,  108,  44036
 348,  108,  44039
 349,  108,  44036
 350,  108,  44292
 343,  109,  43526
 344,  109,  43525
 345,  109,  43776
 346,  109,  43782
 347,  109,  44033
 348,  109,  44039
 349,  109,  44290
 343,  110,  43269
 344,  110,  43523
 345,  110,  43777
 346,  110,  43526
 347,  110,  44032
 348,  110,  44291
 349,  110,  44289
 343,  111,  43270
 344,  111,  43270
 345,  111,  43524
 346,  111,  43526
 347,  111,  44036
 348,  111,  44038
 349,  111,  44037
 343,  112,  43776
 344,  112,  43526
 345,  112,  43780
 346,  112,  43776
 347,  112,  43782
 348,  112,  44290
 342,  113,  43781
 343,  113,  43778
 344,  113,  43781
 345,  113,  43526
 346,  113,  44032
 347,  113,  44035
 348,  113,  44037
 342,  114,  43527
 343,  114,  43780
 344,  114,  43776
 345,  114,  43781
 346,  114,  43781
 347,  114,  43783
 348,  114,  44290
 342,  115,  44034
 343,  115,  43527
 344,  115,  43776
 345,  115,  43783
 346,  115,  43780
 347,  115,  43783
 345,  116,  43783
 346,  116,  43782
 347,  116,  43781
